thalf;group
25.34;interphase
32.02;interphase
13.65;interphase
16.35;interphase
13.45;interphase
29.38;interphase
14.8;interphase
16.1;interphase
13.75;interphase
17.31;interphase
17.69;interphase
9.86;interphase
9.94;interphase
11.39;interphase
7.04;interphase
10.06;interphase
10.38;interphase
7.9;interphase
15.52;interphase
25.1;interphase high expression
21.36;interphase high expression
21.62;interphase high expression
21.61;interphase high expression
28.91;interphase high expression
31.56;interphase high expression
8.45;mitosis
14.8;mitosis
2.98;mitosis
11.14;mitosis
