ACC#	body
A1KXE4	
A6NKT7	Stress granules
O00267	
O00311	
O00399	
O00418	
O00429	
O00443	
O00512	
O00562	
O00571	nucleolus, Stress granules
O14497	
O14686	
O14715	
O14745	Speckles
O14757	
O14773	
O14980	nucleolus, Cajal bodies
O14994	
O15014	
O15151	
O15287	nucleolus
O15350	
O15392	
O15446	nucleolus
O15530	
O43148	nucleolus
O43303	
O43395	nucleolus, Speckles, Cajal bodies
O43521	
O43623	
O43663	
O43683	
O60271	
O60285	nucleolus
O60331	
O60504	Stress granules
O60566	
O60610	
O60701	
O60934	53BP1 bodies
O75122	
O75152	Speckles
O75154	
O75170	
O75179	
O75306	
O75469	
O75533	P-bodies, Speckles
O75616	
O94761	
O94762	
O94782	
O94901	Stress granules
O95139	
O95235	
O95239	
O95251	
O95295	
O95835	
P00338	nucleolus
P00533	
P02545	nucleolus, Stress granules
P03372	
P04179	
P04183	Speckles
P04637	PML
P05067	
P05412	
P05787	nucleolus
P06400	
P06401	
P06748	nucleolus, PML
P08047	
P08621	nucleolus, Speckles
P08670	PML bodies
P0C1Z6	
P10275	
P10412	
P10415	
P10636	
P10644	
P11171	
P11387	nucleolus
P11388	nucleolus, P-bodies
P12268	PML bodies
P12270	nucleolus, NPC
P12272	
P12956	nucleolus, P-bodies, PML bodies
P13051	
P13639	nucleolus
P14635	nucleolus
P15336	PML
P15531	
P15923	
P15927	replication foci, 53BP1 bodies, PML bodies
P16220	
P16949	
P17096	nucleolus, Stress granules
P17302	
P17676	
P17706	
P18031	
P18754	nucleolus, Stress granules
P18846	
P18858	
P19338	nucleolus
P20248	
P20338	
P20700	nucleolus, P-bodies
P21333	nucleolus
P22234	
P22314	Stress granules
P22392	
P22674	
P23258	
P23396	nucleolus, P-bodies
P23443	
P23769	PML
P23771	
P24864	
P24928	Speckles
P24941	Stress granules
P25054	
P25098	
P25205	nucleolus, replication foci, Stress granules
P26358	nucleolus
P26368	nucleolus, Speckles
P27816	Stress granules
P27824	
P28324	
P28749	
P29374	
P29590	PML bodies
P29692	nucleolus
P30050	nucleolus, PML bodies
P30101	nucleolus
P30260	
P30291	nucleolus
P30304	
P30305	
P30307	
P31350	
P31749	
P31943	nucleolus, Speckles
P33316	
P33981	nucleolus
P33991	nucleolus, Stress granules
P33993	nucleolus, Stress granules, P-bodies
P35251	nucleolus
P35611	
P36956	
P38398	53BP1 bodies
P38919	nucleolus, P-bodies
P38936	
P39748	nucleolus
P42166	
P42677	nucleolus
P42898	
P43307	
P46013	nucleolus
P46060	
P46527	
P46531	
P46937	PML, nucleolus
P47736	
P48200	
P48634	Stress granules
P49418	
P49450	
P49459	
P49736	nucleolus, Stress granules
P49792	PML, NPC
P49821	
P49915	
P49916	
P50570	
P50613	transcription centers
P50750	nucleolus, transcription factories
P51587	
P51649	
P52732	
P52948	nuclear pore complex
Q9BXS6	nucleolus
P54132	nucleolus, 53BP1 bodies
P54198	PML
P54274	nucleolus
P54578	
P55196	
P55211	
P55273	
P55795	Stress granules
P56181	
P60891	
P61020	
P61978	Stress granules, paraSpeckles
P62136	nucleolus
P62324	
P62913	nucleolus, PML
P63279	
P67870	PML, nucleolus
P68400	PML
P78317	PML
P78344	Stress granules 
P82970	
P84022	PML
P98170	
Q00536	
Q01094	
Q01167	
Q01196	
Q01581	
Q02535	
Q02539	
Q02750	
Q02880	nucleolus, P-bodies
Q02952	
Q03060	
Q03252	P-bodies
Q04637	Stress granules 
Q05209	
Q05516	PML
Q05682	
Q06413	
Q06481	
Q06830	nucleolus, Stress granules 
Q07820	
Q08050	nucleolus
Q08999	nucleoli
Q09472	superenhancers, Mediator complex
Q09666	
Q0VD86	
Q12778	
Q12800	PML bodies
Q12888	53BP1 bodies
Q12948	
Q12959	
Q13009	
Q13042	
Q13049	
Q13118	
Q13188	
Q13242	nucleolus
Q13309	
Q13330	Mediator complex 
Q13352	
Q13415	
Q13416	
Q13428	nucleolus
Q13501	
Q13535	nucleolus, DNA repair 
Q13541	
Q13586	
Q13950	
Q14005	
Q14103	nucleolus
Q14135	nucleolus
Q14157	Stress granules, paraSpeckles
Q14191	PML, nucleolus
Q14194	
Q14202	
Q14203	Stress granules
Q14207	Cajal bodies
Q14244	
Q14247	
Q14493	nucleolus, Cajal bodies
Q14643	
Q14674	
Q14676	53BP1 bodies
Q14739	Stress granules
Q14790	
Q14807	
Q14934	
Q14978	nucleolus, Stress granules, Cajal bodies
Q14980	nucleolus, P-bodies
Q14C86	
Q14CB8	
Q14CS0	
Q15003	
Q15047	
Q15398	Speckles
Q15554	
Q15648	transcriptional bodies, Speckles
Q15717	nucleolus, Stress granules , P-bodies
Q15788	Mediator interactor, transcription
Q15813	
Q15910	PML, PcG bodies
Q16204	
Q16513	
Q16659	
Q16665	
Q2M2I8	
Q2NKX8	
Q2NL82	nucleolus
Q32P44	
Q38SD2	
Q53ET0	
Q53EZ4	
Q53GL7	
Q53H80	
Q5BJF6	
Q5FBB7	
Q5JTV8	
Q5JTZ9	
Q5TB30	nucleolus
Q5TKA1	
Q5TZA2	
Q69YH5	
Q6P1N0	nucleolus
Q6PGQ7	nucleolus
Q6PKG0	Stress granules
Q6UB35	
Q6Y7W6	Speckles
Q71UM5	nucleolus
Q7KZ85	
Q7Z2Z1	
Q7Z3J3	
Q86T82	nucleolus
Q86WB0	
Q86XL3	
Q8IWB6	
Q8IX03	
Q8IX90	
Q8IXJ6	nucleolus
Q8IXM2	
Q8IZD2	
Q8IZL8	nucleolus
Q8IZP0	
Q8N122	Stress granules
Q8NBZ0	nucleolus, PML body
Q8NCD3	nucleolus
Q8NEB9	
Q8NFH8	
Q8NHV4	
Q8TAP6	
Q8TAP9	
Q8TD19	
Q8TDN4	
Q8TF76	
Q8WUF5	
Q8WUM0	NPC
Q8WWK9	
Q8WX93	Stress granules
Q8WXE1	nucleolus
Q8WYH8	
Q92547	nucleolus, 53BP1 bodies
Q92574	Stress granules
Q92698	
Q92785	
Q92934	
Q92974	
Q92993	PML
Q969V6	
Q96C19	
Q96C36	
Q96E09	
Q96EB6	PML
Q96FF9	
Q96GX5	
Q96IF1	
Q96II8	
Q96JH7	
Q96KB5	
Q96KS0	
Q96PY5	
