uniprot	MLOs
Q562R1	Stress granules
P61163	Stress granules
P42025	Stress granules
P55265	Stress granules
Q9UKV8	Stress granules
P54886	Stress granules
Q9BTT0	Stress granules
P04083	Stress granules
E7EMC6	Stress granules
B4DT77	Stress granules
G3V5D9	Stress granules
O15143	Stress granules
Q6PL18	Stress granules
Q9NVI7	Stress granules
K7EK77	Stress granules
O95817	Stress granules
Q6PJG6	Stress granules
Q6ZUT6	Stress granules
Q01518	Stress granules
Q13951	Stress granules
P83916	Stress granules
B4DUR8	Stress granules
P40227	Stress granules
Q99459	Stress granules
Q6P1J9	Stress granules
P06493	Stress granules
P07199	Stress granules
P23528	Stress granules
Q9NX63	Stress granules
E9PIZ4	Stress granules
Q9Y696	Stress granules
A5YKK6	Stress granules
Q9BR76	Stress granules
Q9UKF6	Stress granules
Q16630	Stress granules
J3QT54	Stress granules
B4DUC5	Stress granules
Q05048	Stress granules
P26232	Stress granules
O60716	Stress granules
Q9P2B4	Stress granules
Q9HCG8	Stress granules
Q96EP5	Stress granules
P81605	Stress granules
I3L0H8	Stress granules
Q9NR30	Stress granules
Q9H0S4	Stress granules
Q9BQ39	Stress granules
Q7L2E3	Stress granules
O60832	Stress granules
Q6AWB1	Stress granules
B7Z5C0	Stress granules
O75937	Stress granules
Q16555	Stress granules
Q14195	Stress granules
P15924	Stress granules
Q5T0V7	Stress granules
Q96FJ2	Stress granules
B4DQ14	Stress granules
P20042	Stress granules
P55884	Stress granules
B4DVY1	Stress granules
O75821	Stress granules
B4DUI3	Stress granules
Q9UBQ5	Stress granules
Q9Y262	Stress granules
Q7L2H7	Stress granules
P60842	Stress granules
P23588	Stress granules
Q15056	Stress granules
Q15717	Stress granules
Q12926	Stress granules
P58107	Stress granules
Q96CG1	Stress granules
Q5JXH9	Stress granules
A8MQB8	Stress granules
Q16658	Stress granules
Q13283	Stress granules
Q06210	Stress granules
C9JIS1	Stress granules
P07305	Stress granules
Q92522	Stress granules
Q71UI9	Stress granules
Q9BUJ2	Stress granules
P42694	Stress granules
P17096	Stress granules
E9PES6	Stress granules
P05114	Stress granules
P51991	Stress granules
D6R9P3	Stress granules
P55795	Stress granules
P07900	Stress granules
P34932	Stress granules
P10809	Stress granules
Q13123	Stress granules
O95373	Stress granules
P05556	Stress granules
Q63ZY3	Stress granules
O75525	Stress granules
Q8TCG1	Stress granules
Q02241	Stress granules
P52294	Stress granules
J3QLL0	Stress granules
O60684	Stress granules
Q14974	Stress granules
Q14739	Stress granules
Q9Y2U8	Stress granules
P02545	Stress granules
Q9BX40	Stress granules
P62310	Stress granules
B8ZZ10	Stress granules
Q86V48	Stress granules
Q9UPN3	Stress granules
C9JZJ5	Stress granules
Q5H909	Stress granules
P27816	Stress granules
O95819	Stress granules
Q15691	Stress granules
H0YHV5	Stress granules
P33991	Stress granules
P33992	Stress granules
P33993	Stress granules
F5GXS7	Stress granules
A1L020	Stress granules
P55081	Stress granules
P46013	Stress granules
F5H2F9	Stress granules
