ACC#	body	dominant_body	xenopus	human
A0AVK6	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A0JLT2	Superenhancers-Mediator	Superenhancers-Mediator	Non Dynamic	Non Cdk target
A0PK00	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A1KZ92	Stress granules	Stress granules	Non Dynamic	Non Cdk target
A1L020	Stress granules,P-bodies	Stress granules,P-bodies	Non Dynamic	Non Cdk target
A1L162	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A1L190	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A1L1A9	Superenhancers-Mediator	Superenhancers-Mediator	Non Dynamic	Non Cdk target
A1X283	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A1Z1Q3	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A2A2Z9	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A2RRP1	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A2VDJ0	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A4D126	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A4D1E9	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A4FUJ8	Superenhancers-Mediator	Superenhancers-Mediator	Non Dynamic	Non Cdk target
A4IF30	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A5YKK6	Stress granules,Superenhancers-Mediator	Stress granules,Superenhancers-Mediator	Non Dynamic	Non Cdk target
A6NDG6	Stress granules	Stress granules	Non Dynamic	Non Cdk target
A6NEL2	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A6NFT4	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A6NGC4	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A6NHJ4	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A6NHQ2	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A6NHR9	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A6NIK2	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A6NJB7	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A6NKD9	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A6NKT7	Stress granules	Stress granules	Non Dynamic	Cdk target
A6NML5	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A6NNA5	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A6NNL5	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A7KAX9	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A8K855	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A8MQB8	Stress granules	Stress granules	Non Dynamic	Non Cdk target
A8MUB1	Stress granules	Stress granules	Non Dynamic	Non Cdk target
A8MV24	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A8MV65	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A8MXV4	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A8MZ59	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
A9UHW6	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
B1ANR0	Stress granules	Stress granules	Non Dynamic	Non Cdk target
B2CW77	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
B2RD01	Nucleoli	Nucleoli	Non Dynamic	Non Cdk target
B4DP21	Stress granules	Stress granules	Non Dynamic	Non Cdk target
B4DQ14	Stress granules	Stress granules	Non Dynamic	Non Cdk target
B4DT77	Stress granules	Stress granules	Non Dynamic	Non Cdk target
B4DUC5	Stress granules	Stress granules	Non Dynamic	Non Cdk target
B4DUI3	Stress granules	Stress granules	Non Dynamic	Non Cdk target
B4DUR8	Stress granules	Stress granules	Non Dynamic	Non Cdk target
B4DVY1	Stress granules	Stress granules	Non Dynamic	Non Cdk target
B4E241	Stress granules	Stress granules	Non Dynamic	Non Cdk target
