uniprot	MLO
A0AVK6	Nucleoli
A0JLT2	Superenhancers-Mediator
A0PK00	Nucleoli
A1KZ92	Stress granules
A1L020	Stress granules,P-bodies
A1L162	Nucleoli
A1L190	Nucleoli
A1L1A9	Superenhancers-Mediator
A1X283	Nucleoli
A1Z1Q3	Nucleoli
A2A2Z9	Nucleoli
A2RRP1	Nucleoli
A2VDJ0	Nucleoli
A4D126	Nucleoli
A4D1E9	Nucleoli
A4FUJ8	Superenhancers-Mediator
A4IF30	Nucleoli
A5YKK6	Stress granules,Superenhancers-Mediator
A6NEL2	Nucleoli
A6NFT4	Nucleoli
A6NGC4	Nucleoli
A6NHJ4	Nucleoli
A6NHQ2	Nucleoli
A6NHR9	Nucleoli
A6NIK2	Nucleoli
A6NJB7	Nucleoli
A6NKD9	Nucleoli
A6NKT7	stress granules,Stress granules
A6NML5	Nucleoli
A6NN90	Nucleoli
A6NNA5	Nucleoli
A6NNL5	Nucleoli
A7KAX9	Nucleoli
A8K855	Nucleoli
A8MQB8	Stress granules
A8MUB1	Stress granules
A8MV24	Nucleoli
A8MV65	Nucleoli
A8MXV4	Nucleoli
A8MZ59	Nucleoli
A9UHW6	Nucleoli
B1ANR0	Stress granules
B2CW77	Nucleoli
B2RD01	Nucleoli
B4DP21	Stress granules
B4DQ14	Stress granules
B4DT77	Stress granules
B4DUC5	Stress granules
B4DUI3	Stress granules
B4DUR8	Stress granules
B4DVY1	Stress granules
B4E241	Stress granules
B4E2B6	Stress granules
B4E3L0	Stress granules
B7Z5C0	Stress granules
B8ZZ10	Stress granules
B9ZVT1	Stress granules
C1H0Q3	Superenhancers-Mediator
C9J0J7	Stress granules
C9J0K6	Stress granules
C9J202	Nucleoli
C9J442	Nucleoli
C9JIS1	Stress granules
C9JN71	Nucleoli
C9JZJ5	Stress granules
D6R9P3	Stress granules
E7EMC6	Stress granules
E7EP00	Stress granules
E7ETU5	Stress granules
E7EVI1	Stress granules
E9PES6	Stress granules
E9PH38	Stress granules
E9PH82	Stress granules
E9PIZ4	Stress granules
E9PKG1	Stress granules
E9PNH7	Stress granules
F5GXS7	Stress granules
F5GY37	Stress granules
F5H282	Stress granules
F5H2F9	Stress granules
F5H7S3	Stress granules
F6TQG2	Stress granules
F8VRD2	Stress granules
F8W1T6	Stress granules
F8W6I7	Stress granules
F8W840	Stress granules
F8WA86	Stress granules
F8WEG8	Stress granules
G2XKQ0	PML bodies
G3V5D9	Stress granules
H0Y6N5	Stress granules
H0YAF8	Stress granules
H0YEH2	Stress granules
H0YH87	Stress granules
H0YHB7	Stress granules
H0YHV5	Stress granules
H3BMG3	Nucleoli
H3BR35	Stress granules
H3BRU6	Stress granules
H3BS89	Nucleoli
H7C3A1	Stress granules
I3L0H8	Stress granules
J3KP19	Stress granules
J3QLL0	Stress granules
J3QSV6	Stress granules
J3QT54	Stress granules
K7EK77	Stress granules
K7EMZ9	Stress granules
K7EPT6	Stress granules
M0R299	Stress granules
M0R3F6	Stress granules
O00124	Nucleoli
O00139	Nucleoli
O00148	Nucleoli
O00151	stress granules,Stress granules
O00159	P-bodies
O00168	Nucleoli
O00221	Nucleoli
O00264	Nucleoli
O00303	Stress granules
O00399	Nucleoli
O00401	Nucleoli
O00422	Nucleoli
O00425	Stress granules,P-bodies
O00442	Nucleoli
O00469	Nucleoli
O00479	Nucleoli
O00488	Nucleoli
O00505	Nucleoli
O00534	Nucleoli
O00541	P-bodies,Nucleoli
O00566	Nucleoli
