Foci_Nucleus	Treat_collapsed	Treatment	Light
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
30	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
29	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
8	DMSO L+	DMSO	On
9	DMSO L+	DMSO	On
24	DMSO L+	DMSO	On
8	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
9	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
36	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
9	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
7	DMSO L+	DMSO	On
6	DMSO L+	DMSO	On
44	DMSO L+	DMSO	On
16	DMSO L+	DMSO	On
8	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
10	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
11	DMSO L+	DMSO	On
22	DMSO L+	DMSO	On
7	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
3	DMSO L+	DMSO	On
4	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
9	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
10	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
10	DMSO L+	DMSO	On
24	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
4	DMSO L+	DMSO	On
10	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
11	DMSO L+	DMSO	On
59	DMSO L+	DMSO	On
11	DMSO L+	DMSO	On
3	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
35	DMSO L+	DMSO	On
22	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
13	DMSO L+	DMSO	On
8	DMSO L+	DMSO	On
30	DMSO L+	DMSO	On
21	DMSO L+	DMSO	On
25	DMSO L+	DMSO	On
4	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
11	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
32	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
15	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
15	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
7	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
13	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
4	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
7	DMSO L+	DMSO	On
16	DMSO L+	DMSO	On
10	DMSO L+	DMSO	On
7	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
6	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
7	OA L-	Okadaic acid	Off
11	OA L-	Okadaic acid	Off
6	OA L-	Okadaic acid	Off
10	OA L-	Okadaic acid	Off
9	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
3	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
