Foci_Nucleus	Treat_collapsed	Treatment	Light
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
3	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
3	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
4	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
4	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
3	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
8	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
3	DMSO L-	DMSO	Off
0	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
7	DMSO L+	DMSO	On
53	DMSO L+	DMSO	On
10	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
8	DMSO L+	DMSO	On
17	DMSO L+	DMSO	On
12	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
12	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
22	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
7	DMSO L+	DMSO	On
24	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
7	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
15	DMSO L+	DMSO	On
8	DMSO L+	DMSO	On
25	DMSO L+	DMSO	On
9	DMSO L+	DMSO	On
22	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
26	DMSO L+	DMSO	On
7	DMSO L+	DMSO	On
9	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
21	DMSO L+	DMSO	On
10	DMSO L+	DMSO	On
8	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
3	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
3	DMSO L+	DMSO	On
6	DMSO L+	DMSO	On
18	DMSO L+	DMSO	On
22	DMSO L+	DMSO	On
4	DMSO L+	DMSO	On
27	DMSO L+	DMSO	On
4	DMSO L+	DMSO	On
3	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
4	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
4	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
14	DMSO L+	DMSO	On
7	DMSO L+	DMSO	On
3	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
6	DMSO L+	DMSO	On
8	DMSO L+	DMSO	On
3	DMSO L+	DMSO	On
9	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
10	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
8	DMSO L+	DMSO	On
14	DMSO L+	DMSO	On
38	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
20	DMSO L+	DMSO	On
18	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
10	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
15	DMSO L+	DMSO	On
8	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
18	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
3	DMSO L+	DMSO	On
7	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
22	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
3	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
17	DMSO L+	DMSO	On
12	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
10	DMSO L+	DMSO	On
19	DMSO L+	DMSO	On
48	DMSO L+	DMSO	On
2	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
