X,Y
0.0000,1100.000
0.0650,1172.951
0.1300,873.926
0.1950,747.333
0.2600,948.951
0.3250,1063.543
0.3900,1023.000
0.4550,978.852
0.5200,1017.198
0.5850,1213.444
0.6500,1305.593
0.7150,1116.370
0.7800,1082.444
0.8450,1124.741
0.9100,1220.321
0.9750,1230.815
1.0400,1127.062
1.1050,1076.864
1.1700,1477.556
1.2350,1581.309
1.3000,1317.037
1.3650,1423.778
1.4300,1730.988
1.4950,1489.951
1.5600,1507.185
1.6250,1703.049
1.6900,1832.877
1.7550,1909.667
1.8200,2331.914
1.8850,2858.469
1.9500,3347.704
2.0150,3728.654
2.0800,3990.481
2.1450,4271.778
2.2100,4270.148
2.2750,4270.210
2.3400,4678.556
2.4050,4797.741
2.4700,4827.321
2.5350,4937.074
2.6000,5111.593
2.6650,5069.234
2.7300,5184.444
2.7950,5363.395
2.8600,5506.161
2.9250,5602.111
2.9900,5767.296
3.0550,5931.062
3.1200,6118.519
3.1850,6234.185
3.2500,6357.444
3.3150,6371.815
3.3800,6505.988
3.4450,6767.148
3.5100,6937.667
3.5750,6840.975
3.6400,6818.802
3.7050,6638.889
3.7700,6633.358
3.8350,6738.025
3.9000,6527.852
3.9650,6502.383
4.0300,6762.234
4.0950,6798.778
4.1600,6682.037
4.2250,6828.926
4.2900,6815.889
4.3550,6693.161
4.4200,6777.605
4.4850,6790.481
4.5500,6834.432
4.6150,6802.790
4.6800,6666.000
4.7450,6533.642
4.8100,6563.766
4.8750,6531.556
4.9400,6366.321
5.0050,6184.099
5.0700,5945.778
5.1350,5759.531
5.2000,5790.543
5.2650,5433.000
5.3300,4959.815
5.3950,4746.531
5.4600,4536.556
5.5250,4203.333
5.5900,4157.556
5.6550,4335.667
5.7200,4114.729
5.7850,3362.173
5.8500,3030.667
5.9150,3258.136
5.9800,3199.222
6.0450,2754.259
6.1100,2557.370
6.1750,2646.889
6.2400,2717.259
6.3050,2511.333
6.3700,2337.062
6.4350,2370.111
6.5000,2395.889
6.5650,2477.247
6.6300,2567.741
6.6950,2549.704
6.7600,2619.333
6.8250,2919.185
6.8900,2861.407
6.9550,2788.642
7.0200,2942.667
7.0850,3266.049
7.1500,3200.025
7.2150,3018.296
7.2800,3065.556
7.3450,3565.407
7.4100,3651.185
7.4750,3394.852
7.5400,3580.235
7.6050,4033.111
7.6700,3866.741
7.7350,3614.383
7.8000,3591.667
7.8650,3715.914
7.9300,3866.185
7.9950,3951.185
8.0600,3885.012
8.1250,3920.025
8.1900,3945.111
8.2550,3947.667
8.3200,4070.136
8.3850,4196.259
8.4500,4030.975
8.5150,4068.284
8.5800,4373.222
8.6450,4296.185
8.7100,4080.333
8.7750,4131.000
8.8400,4243.148
8.9050,4400.914
8.9700,4682.889
9.0350,4647.729
9.1000,4524.173
9.1650,4474.259
9.2300,4389.124
9.2950,4285.444
9.3600,4473.889
9.4250,4825.383
9.4900,5008.444
9.5550,5185.815
9.6200,5033.173
9.6850,4913.667
9.7500,5080.926
9.8150,5348.629
9.8800,5191.691
9.9450,5146.667
10.0100,5289.185
10.0750,5184.271
10.1400,5025.111
10.2050,5215.716
10.2700,5218.333
10.3350,4902.519
10.4000,5031.506
10.4650,5234.605
10.5300,5091.000
10.5950,4830.802
10.6600,4735.938
10.7250,4535.852
10.7900,4227.654
10.8550,4310.926
10.9200,4249.000
10.9850,3939.086
11.0500,3366.840
11.1150,2909.778
11.1800,2571.951
11.2450,2320.271
11.3100,2120.000
11.3750,2036.432
11.4400,1881.370
11.5050,1873.556
11.5700,1831.827
11.6350,1683.914
11.7000,1466.111
11.7650,1476.889
11.8300,1630.123
11.8950,1675.741
11.9600,1588.753
12.0250,1634.852
12.0900,1792.111
12.1550,1773.988
12.2200,1589.543
12.2850,1631.333
12.3500,1713.975
12.4150,1796.877
12.4800,1758.481
12.5450,1784.716
12.6100,1990.346
12.6750,2263.444
12.7400,2480.136
12.8050,2671.889
12.8700,2623.889
12.9350,2540.506
13.0000,2686.876
13.0650,2992.259
13.1300,2969.741
13.1950,2739.852
13.2600,2546.222
13.3250,2551.284
13.3900,2474.395
13.4550,2147.333
13.5200,1608.617
13.5850,1384.210
13.6500,1274.333
13.7150,1313.173
13.7800,1066.185
13.8450,831.407
13.9100,896.802
13.9750,1080.531
14.0400,914.000
14.1050,793.852
14.1700,787.593
14.2350,808.148
14.3000,822.642
14.3650,889.161
14.4300,821.111
14.4950,726.099
14.5600,672.086
14.6250,798.444
14.6900,1026.222
14.7550,969.654
14.8200,654.444
14.8850,632.531
14.9500,863.864
15.0150,899.593
15.0800,612.580
15.1450,614.741
15.2100,949.889
15.2750,967.037
15.3400,704.864
15.4050,755.889
15.4700,1006.111
15.5350,824.654
15.6000,525.333
15.6650,629.605
15.7300,834.926
15.7950,619.000
