X,Y
0.0000,2468.000
0.0650,2467.741
0.1300,2552.493
0.1950,2502.480
0.2600,2524.459
0.3250,2556.625
0.3900,2526.981
0.4550,2365.092
0.5200,2372.979
0.5850,2408.889
0.6500,2405.958
0.7150,2405.245
0.7800,2424.404
0.8450,2460.427
0.9100,2489.472
0.9750,2448.187
1.0400,2555.414
1.1050,2646.433
1.1700,2620.116
1.2350,2595.979
1.3000,2706.984
1.3650,2632.327
1.4300,2538.010
1.4950,2662.174
1.5600,2585.773
1.6250,2882.652
1.6900,2818.720
1.7550,2882.821
1.8200,2909.726
1.8850,3196.520
1.9500,3323.831
2.0150,3479.174
2.0800,3965.697
2.1450,4244.670
2.2100,4337.454
2.2750,4488.019
2.3400,4540.261
2.4050,4442.019
2.4700,4495.612
2.5350,4579.686
2.6000,4838.256
2.6650,4692.229
2.7300,4650.145
2.7950,4650.757
2.8600,4648.493
2.9250,4724.826
2.9900,4844.066
3.0550,4990.335
3.1200,5095.641
3.1850,5158.274
3.2500,5411.166
3.3150,5530.182
3.3800,5867.794
3.4450,6274.124
3.5100,6420.718
3.5750,6840.277
3.6400,6648.179
3.7050,6928.808
3.7700,7105.427
3.8350,7073.757
3.9000,7063.216
3.9650,6978.314
4.0300,6936.412
4.0950,7038.135
4.1600,6869.834
4.2250,6342.214
4.2900,6447.966
4.3550,6126.092
4.4200,5937.327
4.4850,5992.829
4.5500,5644.229
4.6150,5722.623
4.6800,5700.710
4.7450,5845.860
4.8100,5767.079
4.8750,5884.377
4.9400,5808.570
5.0050,5770.116
5.0700,5731.454
5.1350,5622.987
5.2000,5560.900
5.2650,5643.103
5.3300,5586.726
5.3950,5594.887
5.4600,5605.475
5.5250,5641.232
5.5900,5670.960
5.6550,5737.100
5.7200,5675.074
5.7850,5681.836
5.8500,5819.063
5.9150,5821.398
5.9800,5748.356
6.0450,5898.425
6.1100,5829.926
6.1750,5844.675
6.2400,5868.583
6.3050,6014.298
6.3700,6152.707
6.4350,6123.902
6.5000,6022.684
6.5650,6053.908
6.6300,6115.325
6.6950,6238.333
6.7600,6344.607
6.8250,6428.736
6.8900,6252.150
6.9550,6358.855
7.0200,6318.686
7.0850,6454.295
7.1500,6453.937
7.2150,6334.564
7.2800,6265.327
7.3450,6511.913
7.4100,6630.375
7.4750,6309.720
7.5400,6458.113
7.6050,6484.784
7.6700,6628.623
7.7350,6679.847
7.8000,6792.981
7.8650,6693.000
7.9300,7049.675
7.9950,7171.370
8.0600,7426.974
8.1250,7610.628
8.1900,7509.414
8.2550,7445.520
8.3200,7464.285
8.3850,7481.443
8.4500,7459.040
8.5150,7478.850
8.5800,7274.570
8.6450,7303.694
8.7100,7247.575
8.7750,7105.512
