X,Y
0.0000,691.000
0.0650,710.551
0.1300,720.188
0.1950,667.828
0.2600,689.960
0.3250,763.591
0.3900,779.026
0.4550,690.160
0.5200,655.869
0.5850,636.989
0.6500,659.276
0.7150,766.787
0.7800,825.193
0.8450,754.255
0.9100,734.841
0.9750,787.933
1.0400,811.681
1.1050,835.884
1.1700,845.525
1.2350,772.703
1.3000,813.848
1.3650,895.119
1.4300,832.197
1.4950,771.917
1.5600,860.622
1.6250,935.816
1.6900,900.524
1.7550,867.990
1.8200,936.062
1.8850,959.058
1.9500,876.495
2.0150,778.975
2.0800,810.766
2.1450,959.081
2.2100,1035.417
2.2750,920.254
2.3400,808.013
2.4050,764.261
2.4700,777.727
2.5350,909.514
2.6000,1106.141
2.6650,1118.450
2.7300,1007.376
2.7950,1028.668
2.8600,1224.235
2.9250,1289.578
2.9900,1223.000
3.0550,1330.270
3.1200,1536.011
3.1850,1578.449
3.2500,1578.536
3.3150,1727.649
3.3800,1824.744
3.4450,1785.798
3.5100,1962.163
3.5750,2442.806
3.6400,2834.374
3.7050,2923.250
3.7700,2971.771
3.8350,3143.023
3.9000,3332.987
3.9650,3455.918
4.0300,3429.852
4.0950,3364.759
4.1600,3432.600
4.2250,3391.416
4.2900,3263.671
4.3550,3318.889
4.4200,3429.101
4.4850,3341.250
4.5500,3326.446
4.6150,3652.350
4.6800,3781.225
4.7450,3768.500
4.8100,3905.054
4.8750,4022.108
4.9400,4096.365
5.0050,4390.252
5.0700,4374.711
5.1350,4152.561
5.2000,4471.612
5.2650,5013.222
5.3300,4702.989
5.3950,4292.389
5.4600,4544.393
5.5250,5036.242
5.5900,4749.401
5.6550,4620.956
5.7200,4852.791
5.7850,5014.596
5.8500,4829.066
5.9150,4744.656
5.9800,4784.667
6.0450,4922.357
6.1100,4974.371
6.1750,4894.603
6.2400,4803.577
6.3050,4849.660
6.3700,4826.566
6.4350,4762.768
6.5000,4750.636
6.5650,4758.180
6.6300,4726.038
6.6950,4581.823
6.7600,4297.498
6.8250,4127.771
6.8900,4125.493
6.9550,4073.047
7.0200,3610.941
7.0850,3243.795
7.1500,3116.862
7.2150,3045.556
7.2800,2920.968
7.3450,3034.149
7.4100,3232.966
7.4750,3206.333
7.5400,3301.417
7.6050,3485.673
7.6700,3635.138
7.7350,3868.437
7.8000,4197.618
7.8650,4251.327
7.9300,4069.871
7.9950,4137.671
8.0600,4422.481
8.1250,4564.711
8.1900,4637.961
8.2550,4703.487
8.3200,4548.175
8.3850,4433.720
8.4500,4578.433
8.5150,4628.078
8.5800,4489.113
8.6450,4589.122
8.7100,4882.428
8.7750,4998.622
8.8400,4938.438
8.9050,5027.803
8.9700,5283.500
9.0350,5420.835
9.1000,5383.277
9.1650,5355.711
9.2300,5351.319
9.2950,5268.971
9.3600,5233.317
9.4250,5351.900
9.4900,5415.548
9.5550,5290.766
9.6200,5129.720
9.6850,5082.854
9.7500,5171.521
9.8150,5174.852
9.8800,4747.996
9.9450,4446.096
10.0100,4289.062
10.0750,4013.043
10.1400,3570.909
10.2050,3329.521
10.2700,3192.896
10.3350,3020.200
10.4000,3032.229
10.4650,3150.333
10.5300,3144.187
10.5950,2958.924
10.6600,2951.311
10.7250,3128.913
10.7900,3209.359
10.8550,3337.065
10.9200,3706.310
10.9850,4070.712
11.0500,4146.843
11.1150,4168.130
11.1800,4374.875
11.2450,4628.898
11.3100,4661.554
11.3750,4662.291
11.4400,4756.700
11.5050,4728.312
11.5700,4544.517
11.6350,4555.351
11.7000,4710.539
11.7650,4727.115
11.8300,4535.931
11.8950,4753.206
11.9600,4919.000
12.0250,4691.865
12.0900,4582.138
12.1550,4690.848
12.2200,4750.274
12.2850,4649.288
12.3500,4600.633
12.4150,4473.270
12.4800,4369.276
12.5450,4308.102
12.6100,4360.701
12.6750,4633.038
12.7400,4833.162
12.8050,4812.823
12.8700,4572.098
12.9350,4629.268
13.0000,4584.827
13.0650,4586.041
13.1300,4698.427
13.1950,4698.626
13.2600,4664.219
13.3250,4849.583
13.3900,4952.161
13.4550,4776.750
13.5200,4646.205
13.5850,4573.572
13.6500,4640.334
13.7150,4783.026
13.7800,4763.462
13.8450,4596.918
13.9100,4638.578
13.9750,4823.872
14.0400,4768.809
14.1050,4562.321
14.1700,4521.507
14.2350,4781.804
14.3000,4891.037
14.3650,4552.643
14.4300,4222.560
14.4950,4257.039
14.5600,4392.664
14.6250,4361.372
14.6900,4262.729
14.7550,4210.206
14.8200,4236.885
14.8850,4366.921
14.9500,4402.333
15.0150,4342.312
15.0800,4331.627
15.1450,4342.939
15.2100,4150.936
15.2750,3828.421
15.3400,3763.809
15.4050,3776.242
15.4700,3621.866
15.5350,3540.328
15.6000,3605.214
15.6650,3437.450
15.7300,3150.124
15.7950,3123.778
15.8600,3221.304
15.9250,2982.298
15.9900,2628.975
16.0550,2542.594
16.1200,2721.669
16.1850,2817.556
16.2500,2718.662
16.3150,2546.318
16.3800,2466.666
16.4450,2490.333
16.5100,2482.535
16.5750,2245.020
16.6400,2058.594
16.7050,2134.571
16.7700,2317.563
16.8350,2242.971
16.9000,2058.328
16.9650,2052.527
17.0300,2039.899
17.0950,1822.679
17.1600,1666.474
17.2250,1579.042
17.2900,1408.141
17.3550,1371.051
17.4200,1502.109
17.4850,1224.176
17.5500,946.189
17.6150,995.887
17.6800,1062.637
17.7450,945.699
17.8100,987.016
17.8750,1137.317
17.9400,1195.000
