X,Y
0.0000,436.000
0.0650,548.592
0.1300,569.534
0.1950,451.805
0.2600,422.327
0.3250,507.596
0.3900,493.070
0.4550,471.330
0.5200,548.765
0.5850,542.577
0.6500,353.363
0.7150,456.751
0.7800,642.468
0.8450,717.437
0.9100,721.003
0.9750,782.465
1.0400,857.738
1.1050,937.212
1.1700,1070.714
1.2350,1145.091
1.3000,1083.349
1.3650,1259.669
1.4300,1573.550
1.4950,1673.634
1.5600,1535.121
1.6250,1419.852
1.6900,1638.974
1.7550,1758.668
1.8200,1747.266
1.8850,1652.094
1.9500,1623.268
2.0150,1693.570
2.0800,1798.859
2.1450,1937.302
2.2100,1941.282
2.2750,1759.557
2.3400,1709.526
2.4050,1784.572
2.4700,1850.710
2.5350,1842.079
2.6000,1839.999
2.6650,1889.741
2.7300,1966.515
2.7950,1835.612
2.8600,1685.785
2.9250,1552.460
2.9900,1551.403
3.0550,1578.248
3.1200,1588.182
3.1850,1556.730
3.2500,1614.965
3.3150,1807.375
3.3800,1689.972
3.4450,1523.264
3.5100,1485.306
3.5750,1546.239
3.6400,1654.475
3.7050,1706.618
3.7700,1685.829
3.8350,1644.841
3.9000,1604.070
3.9650,1616.455
4.0300,1693.103
4.0950,1825.808
4.1600,1864.463
4.2250,1818.784
4.2900,1805.299
4.3550,1843.109
4.4200,1840.335
4.4850,1932.608
4.5500,2150.970
4.6150,2184.450
4.6800,2246.217
4.7450,2439.077
4.8100,2625.652
4.8750,2540.048
4.9400,2462.896
5.0050,2432.300
5.0700,2403.363
5.1350,2264.167
5.2000,2133.468
5.2650,2105.265
5.3300,2227.869
5.3950,2015.969
5.4600,1736.424
5.5250,1685.837
5.5900,1925.277
5.6550,1992.306
5.7200,1684.068
5.7850,1657.698
5.8500,1745.193
5.9150,1660.536
5.9800,1675.111
6.0450,1861.673
6.1100,1768.101
6.1750,1695.688
6.2400,1768.938
6.3050,1749.496
6.3700,1611.804
6.4350,1621.775
6.5000,1747.583
6.5650,1889.207
6.6300,1829.688
6.6950,1521.050
6.7600,1438.393
6.8250,1564.611
6.8900,1519.159
6.9550,1447.237
7.0200,1666.898
7.0850,1800.522
7.1500,1608.875
7.2150,1503.144
7.2800,1563.733
7.3450,1615.127
7.4100,1632.226
7.4750,1560.870
7.5400,1501.334
7.6050,1598.006
7.6700,1676.447
7.7350,1663.901
7.8000,1696.231
7.8650,1731.836
7.9300,1674.261
7.9950,1650.262
8.0600,1677.015
8.1250,1869.346
8.1900,2083.301
8.2550,2040.347
8.3200,1854.049
8.3850,1849.246
8.4500,1997.087
8.5150,2063.165
8.5800,2014.195
8.6450,1799.009
8.7100,1832.927
8.7750,2065.708
8.8400,2138.804
8.9050,1836.013
8.9700,1773.591
9.0350,1993.646
9.1000,2168.178
9.1650,2230.046
9.2300,2237.558
9.2950,2337.730
9.3600,2344.822
9.4250,2563.383
9.4900,2937.966
9.5550,3041.443
9.6200,3165.216
9.6850,3355.368
9.7500,3421.571
9.8150,3591.902
9.8800,3513.280
9.9450,3445.001
10.0100,3384.958
10.0750,3411.827
10.1400,3508.935
10.2050,3414.949
10.2700,3430.332
10.3350,3489.059
10.4000,3634.502
10.4650,3806.668
10.5300,3869.890
10.5950,3766.402
10.6600,3639.714
10.7250,3593.506
10.7900,3542.966
10.8550,3689.184
10.9200,3708.979
10.9850,3558.983
11.0500,3534.987
11.1150,3439.563
11.1800,3348.097
11.2450,3338.793
11.3100,3569.796
11.3750,3601.661
11.4400,3575.812
11.5050,3560.582
11.5700,3481.660
11.6350,3418.130
11.7000,3444.851
11.7650,3533.421
11.8300,3648.423
11.8950,3590.960
11.9600,3448.562
12.0250,3623.962
12.0900,3705.293
12.1550,3577.441
12.2200,3438.342
12.2850,3649.599
12.3500,3898.878
12.4150,3789.931
12.4800,3683.385
12.5450,3611.498
12.6100,3523.602
12.6750,3369.717
12.7400,3399.935
12.8050,3326.695
12.8700,3139.929
12.9350,3123.891
13.0000,3069.357
13.0650,2942.855
13.1300,2879.739
13.1950,2925.056
13.2600,2717.717
13.3250,2474.529
13.3900,2427.073
13.4550,2331.043
13.5200,2245.847
13.5850,2307.859
13.6500,2156.466
13.7150,2060.609
13.7800,2118.962
13.8450,2236.735
13.9100,2150.319
13.9750,2054.188
14.0400,1873.495
14.1050,1760.343
14.1700,1900.207
14.2350,2265.882
14.3000,2387.136
14.3650,2246.294
14.4300,2327.734
14.4950,2557.294
14.5600,2720.273
14.6250,2860.404
14.6900,2898.669
14.7550,2930.958
14.8200,2883.696
14.8850,2691.663
14.9500,2532.827
15.0150,2528.299
15.0800,2490.244
15.1450,2419.860
15.2100,2256.555
15.2750,2110.327
15.3400,1948.275
15.4050,1876.155
15.4700,1948.498
15.5350,1998.684
15.6000,1830.628
15.6650,1692.689
15.7300,1703.061
15.7950,1763.041
15.8600,1753.150
15.9250,1651.607
15.9900,1666.779
16.0550,1791.725
16.1200,1874.634
16.1850,1861.026
16.2500,1781.408
16.3150,1815.850
16.3800,1871.367
16.4450,1878.411
16.5100,1852.657
16.5750,1944.070
16.6400,2155.852
16.7050,2145.053
16.7700,1950.731
16.8350,2033.277
16.9000,2349.657
16.9650,2408.834
17.0300,2345.902
17.0950,2367.263
17.1600,2391.240
17.2250,2429.092
17.2900,2507.105
17.3550,2350.653
17.4200,2341.712
17.4850,2474.312
17.5500,2594.702
17.6150,2421.226
17.6800,2235.076
17.7450,2189.162
17.8100,2284.996
17.8750,2388.789
17.9400,2425.083
18.0050,2633.841
18.0700,2700.819
18.1350,2634.763
18.2000,2512.746
18.2650,2471.544
18.3300,2256.786
18.3950,2065.591
18.4600,1871.918
18.5250,1581.119
18.5900,1388.715
18.6550,1483.151
18.7200,1396.741
18.7850,1199.537
18.8500,1048.648
18.9150,946.220
18.9800,817.099
19.0450,801.751
19.1100,867.997
19.1750,812.320
19.2400,659.219
19.3050,534.451
19.3700,603.962
19.4350,591.042
19.5000,532.701
19.5650,470.057
19.6300,426.618
19.6950,469.472
19.7600,442.476
19.8250,370.612
19.8900,351.467
19.9550,453.000
