X,Y
0.0000,1991.000
0.0650,2008.198
0.1300,1944.074
0.1950,1975.519
0.2600,2203.963
0.3250,2222.198
0.3900,2043.111
0.4550,1761.778
0.5200,1856.642
0.5850,2117.889
0.6500,2380.185
0.7150,2538.852
0.7800,2777.444
0.8450,2917.802
0.9100,2615.802
0.9750,2065.333
1.0400,1903.877
1.1050,2065.975
1.1700,2433.111
1.2350,2550.605
1.3000,2595.099
1.3650,2604.667
1.4300,2592.074
1.4950,2671.099
1.5600,2908.111
1.6250,3246.062
1.6900,3662.259
1.7550,4118.333
1.8200,4847.667
1.8850,5690.062
1.9500,6712.037
2.0150,7377.099
2.0800,7954.975
2.1450,8554.519
2.2100,9262.963
2.2750,9679.987
2.3400,9904.777
2.4050,9801.814
2.4700,9917.074
2.5350,10235.444
2.6000,10404.630
2.6650,10528.716
2.7300,10874.444
2.7950,11334.716
2.8600,11257.037
2.9250,11149.223
2.9900,11308.186
3.0550,11715.136
3.1200,12238.741
3.1850,12437.420
3.2500,12316.580
3.3150,12312.889
3.3800,12544.148
3.4450,13033.136
3.5100,12814.667
3.5750,12665.950
3.6400,12787.679
3.7050,12977.333
3.7700,12760.346
3.8350,12570.593
3.9000,12527.926
3.9650,12572.062
4.0300,12661.642
4.0950,12844.556
4.1600,13136.111
4.2250,13214.444
4.2900,13336.814
4.3550,13077.877
4.4200,12749.086
4.4850,12746.667
4.5500,13010.568
4.6150,13032.950
4.6800,12869.000
4.7450,12748.889
4.8100,12650.123
4.8750,12227.296
4.9400,11768.432
5.0050,11653.481
5.0700,11702.963
5.1350,11766.296
5.2000,11453.901
5.2650,10857.000
5.3300,10374.481
5.3950,10006.790
5.4600,9846.444
5.5250,9387.013
5.5900,8582.814
5.6550,8253.074
5.7200,7885.222
5.7850,7076.679
5.8500,6248.333
5.9150,5583.111
5.9800,4944.790
6.0450,4645.519
6.1100,4768.926
6.1750,4940.025
6.2400,4595.926
6.3050,4302.543
6.3700,4366.642
6.4350,4461.889
6.5000,4273.889
6.5650,4208.889
6.6300,4355.296
6.6950,4647.284
6.7600,4988.519
6.8250,5307.778
6.8900,5533.111
6.9550,5662.358
7.0200,5835.000
7.0850,5850.481
7.1500,5791.321
7.2150,5657.444
7.2800,5743.766
7.3450,6009.099
7.4100,6345.000
7.4750,6642.802
7.5400,6782.358
7.6050,6983.667
7.6700,7077.198
7.7350,7070.531
7.8000,7107.371
7.8650,7369.457
7.9300,7846.494
7.9950,8045.444
8.0600,8014.383
8.1250,8089.778
8.1900,8340.889
8.2550,8728.000
8.3200,9249.531
8.3850,9624.519
8.4500,9708.420
8.5150,9849.827
8.5800,10076.444
8.6450,10406.976
8.7100,10341.987
8.7750,10324.667
8.8400,10446.741
8.9050,10549.432
8.9700,10450.667
9.0350,10274.852
9.1000,10294.901
9.1650,10347.741
9.2300,10137.000
9.2950,10047.926
9.3600,10412.667
9.4250,11048.556
9.4900,11361.148
9.5550,11592.889
9.6200,11485.729
9.6850,11445.691
9.7500,11396.407
9.8150,11615.148
9.8800,11978.111
9.9450,11781.444
10.0100,11479.024
10.0750,11347.074
10.1400,11615.814
10.2050,11539.284
10.2700,11244.667
10.3350,10930.814
10.4000,10870.271
10.4650,10918.099
10.5300,10846.000
10.5950,11115.531
10.6600,10934.642
10.7250,10152.074
10.7900,9402.938
10.8550,9370.013
10.9200,9390.556
10.9850,8604.062
11.0500,7147.568
11.1150,6072.000
11.1800,5456.642
11.2450,5162.852
11.3100,4896.778
11.3750,4695.988
11.4400,4560.333
11.5050,4409.371
11.5700,4154.704
11.6350,4062.420
11.7000,4035.556
11.7650,3981.012
11.8300,3858.691
11.8950,3777.630
11.9600,3681.432
12.0250,3593.124
12.0900,3380.037
12.1550,3245.654
12.2200,3097.111
12.2850,3322.000
12.3500,3655.037
12.4150,3556.469
12.4800,3086.593
12.5450,3214.840
12.6100,3770.296
12.6750,4320.037
12.7400,4663.444
12.8050,4965.074
12.8700,5329.222
12.9350,5630.629
13.0000,5644.358
13.0650,5606.444
13.1300,5172.469
13.1950,4816.012
13.2600,4494.185
13.3250,4160.654
13.3900,3637.049
13.4550,3113.333
13.5200,2543.481
13.5850,2053.284
13.6500,1707.704
13.7150,1594.963
13.7800,1472.370
13.8450,1444.926
13.9100,1420.654
13.9750,1299.889
14.0400,1157.000
14.1050,1173.469
14.1700,1152.222
14.2350,1045.889
14.3000,985.580
14.3650,1130.630
14.4300,1318.074
14.4950,1408.667
14.5600,1474.222
14.6250,1661.778
14.6900,1535.901
14.7550,1182.556
14.8200,918.778
14.8850,944.815
14.9500,1107.654
15.0150,1149.185
15.0800,1059.457
15.1450,1083.765
15.2100,1168.000
15.2750,1224.568
15.3400,1238.000
15.4050,1315.222
15.4700,1321.741
15.5350,1220.457
15.6000,1111.370
15.6650,1178.654
15.7300,1367.284
15.7950,1351.000
