X,Y
0.0000,202.000
0.0650,253.858
0.1300,222.433
0.1950,220.063
0.2600,226.536
0.3250,211.894
0.3900,238.620
0.4550,232.966
0.5200,201.253
0.5850,242.858
0.6500,198.792
0.7150,253.955
0.7800,243.063
0.8450,230.372
0.9100,243.778
0.9750,243.525
1.0400,223.013
1.1050,241.538
1.1700,241.195
1.2350,237.000
1.3000,273.628
1.3650,236.441
1.4300,244.670
1.4950,241.335
1.5600,270.947
1.6250,249.604
1.6900,246.274
1.7550,305.016
1.8200,268.522
1.8850,296.356
1.9500,320.467
2.0150,330.852
2.0800,433.923
2.1450,500.201
2.2100,538.069
2.2750,553.997
2.3400,512.567
2.4050,497.467
2.4700,454.810
2.5350,414.934
2.6000,449.689
2.6650,454.082
2.7300,419.314
2.7950,434.873
2.8600,413.966
2.9250,452.625
2.9900,435.960
3.0550,443.504
3.1200,473.224
3.1850,511.311
3.2500,591.485
3.3150,604.419
3.3800,758.293
3.4450,937.253
3.5100,1166.016
3.5750,1326.683
3.6400,1454.863
3.7050,1543.145
3.7700,1569.351
3.8350,1608.493
3.9000,1590.430
3.9650,1511.082
4.0300,1532.902
4.0950,1458.261
4.1600,1448.427
4.2250,1272.504
4.2900,1143.784
4.3550,995.277
4.4200,801.583
4.4850,638.053
4.5500,609.612
4.6150,525.868
4.6800,516.398
4.7450,510.040
4.8100,506.551
4.8750,501.377
4.9400,469.781
5.0050,495.504
5.0700,523.995
5.1350,493.591
5.2000,501.575
5.2650,481.757
5.3300,518.000
5.3950,510.504
5.4600,475.011
5.5250,429.786
5.5900,483.916
5.6550,430.578
5.7200,511.501
5.7850,489.694
5.8500,493.776
5.9150,479.852
5.9800,484.805
6.0450,491.844
6.1100,443.968
6.1750,538.016
6.2400,530.710
6.3050,543.203
6.3700,512.828
6.4350,524.744
6.5000,573.032
6.5650,541.055
6.6300,548.000
6.6950,557.216
6.7600,590.245
6.8250,580.704
6.8900,523.164
6.9550,592.850
7.0200,632.150
7.0850,606.876
7.1500,683.776
7.2150,656.185
7.2800,642.317
7.3450,665.770
7.4100,709.414
7.4750,675.206
7.5400,689.000
7.6050,703.443
7.6700,675.509
7.7350,745.976
7.8000,783.232
7.8650,750.602
7.9300,823.478
7.9950,912.821
8.0600,994.325
8.1250,1168.092
8.1900,1225.261
8.2550,1383.433
8.3200,1351.860
8.3850,1362.332
8.4500,1441.208
8.5150,1403.868
8.5800,1433.844
8.6450,1322.889
8.7100,1351.591
8.7750,1303.726
8.8400,1232.066
8.9050,1277.169
8.9700,1193.609
9.0350,1141.923
9.1000,1178.926
9.1650,1124.422
9.2300,1105.187
9.2950,1083.106
9.3600,1091.923
9.4250,1076.127
9.4900,1170.029
9.5550,1077.955
9.6200,1080.567
9.6850,1135.047
9.7500,1068.388
9.8150,1154.810
9.8800,1116.718
9.9450,1176.069
10.0100,1189.739
10.0750,1205.987
10.1400,1185.343
10.2050,1294.309
10.2700,1264.807
10.3350,1255.116
10.4000,1355.702
10.4650,1323.208
10.5300,1216.612
10.5950,1335.066
10.6600,1244.892
10.7250,1165.596
10.7900,1134.546
10.8550,1055.227
10.9200,922.298
10.9850,798.106
11.0500,772.546
11.1150,771.169
11.1800,755.309
11.2450,711.391
11.3100,669.272
11.3750,652.995
11.4400,662.784
11.5050,696.889
11.5700,698.908
11.6350,644.322
11.7000,633.449
11.7650,659.839
11.8300,701.475
11.8950,633.926
11.9600,711.084
12.0250,633.451
12.0900,605.406
12.1550,600.881
12.2200,595.317
12.2850,596.034
12.3500,551.963
12.4150,590.747
12.4800,628.763
12.5450,679.393
12.6100,697.459
12.6750,628.274
12.7400,658.251
12.8050,664.277
12.8700,577.409
12.9350,628.198
13.0000,646.266
13.0650,661.150
13.1300,775.559
13.1950,750.997
13.2600,852.425
13.3250,851.338
13.3900,923.995
13.4550,908.356
13.5200,963.340
13.5850,999.251
13.6500,1114.158
13.7150,1228.227
13.7800,1402.454
13.8450,1545.583
13.9100,1747.807
13.9750,1746.697
14.0400,1783.675
14.1050,1932.892
14.1700,1845.813
14.2350,1841.018
14.3000,1672.398
14.3650,1587.375
14.4300,1477.805
14.4950,1489.670
14.5600,1478.599
14.6250,1356.372
14.6900,1327.681
14.7550,1393.826
14.8200,1265.966
14.8850,1320.652
14.9500,1263.346
15.0150,1315.860
15.0800,1247.346
15.1450,1339.420
15.2100,1325.501
15.2750,1301.797
15.3400,1297.884
15.4050,1333.850
15.4700,1248.805
15.5350,1373.124
15.6000,1315.045
15.6650,1548.119
15.7300,1592.997
15.7950,1635.311
15.8600,1708.794
15.9250,1720.406
15.9900,1827.435
16.0550,1957.327
16.1200,1937.061
16.1850,2073.232
16.2500,2274.620
16.3150,2195.245
16.3800,2162.010
16.4450,2091.169
16.5100,1856.971
16.5750,1585.198
16.6400,1417.032
16.7050,1383.522
16.7700,1139.710
16.8350,1010.657
16.9000,882.562
16.9650,720.174
17.0300,657.296
17.0950,677.369
17.1600,592.641
17.2250,588.235
17.2900,596.916
17.3550,606.462
17.4200,568.259
17.4850,537.166
17.5500,537.327
17.6150,570.839
17.6800,501.810
17.7450,526.137
17.8100,498.609
17.8750,520.000
17.9400,523.847
18.0050,477.148
18.0700,515.615
18.1350,506.274
18.2000,493.794
18.2650,495.145
18.3300,493.427
18.3950,466.533
18.4600,496.974
18.5250,471.623
18.5900,451.277
18.6550,465.290
18.7200,472.554
18.7850,497.272
18.8500,483.472
18.9150,500.251
18.9800,465.982
19.0450,480.823
19.1100,533.433
19.1750,486.784
19.2400,520.918
19.3050,474.174
19.3700,452.385
19.4350,482.823
19.5000,440.161
19.5650,432.346
19.6300,430.032
19.6950,423.354
19.7600,421.396
19.8250,404.361
19.8900,408.296
19.9550,421.979
20.0200,432.388
20.0850,425.306
20.1500,402.544
20.2150,404.417
20.2800,388.232
20.3450,380.683
20.4100,396.908
20.4750,420.763
20.5400,410.995
20.6050,410.871
20.6700,412.266
20.7350,382.583
20.8000,402.641
20.8650,383.852
20.9300,428.277
20.9950,378.340
21.0600,428.187
21.1250,415.865
21.1900,409.383
21.2550,418.549
21.3200,395.958
21.3850,397.182
21.4500,367.013
21.5150,355.454
21.5800,387.807
21.6450,380.902
21.7100,341.538
21.7750,360.340
21.8400,327.588
21.9050,305.865
21.9700,325.842
22.0350,302.644
22.1000,330.768
22.1650,317.799
22.2300,334.515
22.2950,321.050
22.3600,284.554
22.4250,267.488
22.4900,232.179
22.5550,231.364
22.6200,222.799
22.6850,213.691
22.7500,217.470
22.8150,209.557
22.8800,221.140
22.9450,243.726
23.0100,209.749
23.0750,224.113
23.1400,210.699
23.2050,226.098
23.2700,218.557
23.3350,227.150
23.4000,216.807
23.4650,214.995
23.5300,219.103
23.5950,204.773
23.6600,223.813
23.7250,217.966
23.7900,227.520
23.8550,215.633
23.9200,204.232
23.9850,211.578
24.0500,200.665
24.1150,190.127
24.1800,203.040
24.2450,208.873
24.3100,202.132
24.3750,217.810
