X,Y
0.0000,452.000
0.0650,425.114
0.1300,439.634
0.1950,455.966
0.2600,504.272
0.3250,532.928
0.3900,527.488
0.4550,499.250
0.5200,619.135
0.5850,721.728
0.6500,707.231
0.7150,636.949
0.7800,654.754
0.8450,604.389
0.9100,581.682
0.9750,689.372
1.0400,869.016
1.1050,886.406
1.1700,789.870
1.2350,701.959
1.3000,836.176
1.3650,1081.823
1.4300,1141.847
1.4950,985.917
1.5600,983.140
1.6250,1088.160
1.6900,1146.187
1.7550,1100.905
1.8200,1146.730
1.8850,1268.961
1.9500,1386.297
2.0150,1443.808
2.0800,1416.962
2.1450,1362.122
2.2100,1440.337
2.2750,1583.060
2.3400,1610.276
2.4050,1561.850
2.4700,1667.240
2.5350,1864.031
2.6000,1948.669
2.6650,1873.171
2.7300,1938.792
2.7950,2181.978
2.8600,2585.394
2.9250,3161.948
2.9900,3688.000
3.0550,3862.618
3.1200,3792.658
3.1850,3809.282
3.2500,4008.798
3.3150,4382.016
3.3800,4954.147
3.4450,5680.319
3.5100,6525.202
3.5750,7585.237
3.6400,8719.995
3.7050,9570.439
3.7700,10025.857
3.8350,10651.251
3.9000,11516.473
3.9650,12015.766
4.0300,11882.439
4.0950,11797.626
4.1600,11984.992
4.2250,11918.400
4.2900,11317.893
4.3550,11120.688
4.4200,11535.383
4.4850,11971.000
4.5500,12737.445
4.6150,13609.663
4.6800,14116.628
4.7450,13770.717
4.8100,13743.324
4.8750,14800.705
4.9400,15995.172
5.0050,16045.382
5.0700,15650.972
5.1350,16013.376
5.2000,16529.076
5.2650,16669.291
5.3300,16645.330
5.3950,16729.363
5.4600,16810.695
5.5250,17017.332
5.5900,17089.795
5.6550,17284.084
5.7200,17371.965
5.7850,17310.166
5.8500,17061.121
5.9150,16833.404
5.9800,16790.334
6.0450,16870.717
6.1100,16923.076
6.1750,17344.512
6.2400,18162.982
6.3050,18699.852
6.3700,18047.527
6.4350,17659.205
6.5000,17502.402
6.5650,17299.830
6.6300,16481.266
6.6950,15677.508
6.7600,15381.489
6.8250,14620.556
6.8900,13343.129
6.9550,11941.177
7.0200,11043.845
7.0850,10683.952
7.1500,10232.833
7.2150,9633.166
7.2800,9358.068
7.3450,9541.948
7.4100,9953.087
7.4750,10479.333
7.5400,11316.144
7.6050,12706.582
7.6700,14436.641
7.7350,15766.834
7.8000,16348.095
7.8650,16901.611
7.9300,17614.947
7.9950,18071.734
8.0600,17931.787
8.1250,17598.635
8.1900,17510.084
8.2550,17352.910
8.3200,17091.982
8.3850,16803.189
8.4500,16636.020
8.5150,16769.029
8.5800,17413.109
8.6450,18202.865
8.7100,18824.900
8.7750,19132.801
8.8400,19336.529
8.9050,19621.932
8.9700,20042.000
9.0350,20603.084
9.1000,20970.264
9.1650,21004.229
9.2300,20772.520
9.2950,20615.500
9.3600,20679.545
9.4250,20464.852
9.4900,19986.541
9.5550,19892.273
9.6200,19676.770
9.6850,19352.562
9.7500,18768.996
9.8150,17773.756
9.8800,17031.740
9.9450,16310.558
10.0100,15151.734
10.0750,13776.895
10.1400,12580.168
10.2050,11702.610
10.2700,10717.492
10.3350,9982.951
10.4000,9923.148
10.4650,10232.333
10.5300,9989.910
10.5950,9944.548
10.6600,10532.720
10.7250,11695.398
10.7900,12915.316
10.8550,13963.086
10.9200,14798.125
10.9850,15534.867
11.0500,16431.131
11.1150,17238.820
11.1800,17613.850
11.2450,17629.488
11.3100,17844.123
11.3750,18337.451
11.4400,18511.520
11.5050,18631.895
11.5700,18539.441
11.6350,18707.443
11.7000,18878.510
11.7650,19032.873
11.8300,18795.943
11.8950,18193.727
11.9600,17635.000
12.0250,17647.275
12.0900,17429.328
12.1550,16967.660
12.2200,16223.724
12.2850,15685.104
12.3500,15512.273
12.4150,15500.850
12.4800,15443.085
12.5450,15320.707
12.6100,15216.316
12.6750,15498.689
12.7400,15935.848
12.8050,16342.865
12.8700,16199.596
12.9350,15893.991
13.0000,15835.271
13.0650,15831.287
13.1300,15810.984
13.1950,15877.206
13.2600,16135.359
13.3250,16500.039
13.3900,16622.490
13.4550,16311.250
13.5200,16650.834
13.5850,17118.381
13.6500,17159.055
13.7150,16839.248
13.7800,16520.941
13.8450,16790.613
13.9100,17255.576
13.9750,16873.799
14.0400,16178.677
14.1050,15892.383
14.1700,15975.969
14.2350,16132.971
14.3000,16005.606
14.3650,15790.808
14.4300,15656.178
14.4950,15648.941
14.5600,15536.979
14.6250,15299.751
14.6900,15127.221
14.7550,15078.118
14.8200,15011.189
14.8850,14549.482
14.9500,13953.667
15.0150,13678.487
15.0800,13581.780
15.1450,13328.938
15.2100,13011.756
15.2750,12657.406
15.3400,12247.943
15.4050,11875.462
15.4700,11699.777
15.5350,11642.396
15.6000,11494.317
15.6650,11084.869
15.7300,10497.091
15.7950,9881.326
15.8600,9461.519
15.9250,8932.670
15.9900,8254.350
16.0550,7812.819
16.1200,7986.100
16.1850,8301.559
16.2500,7913.227
16.3150,7486.861
16.3800,7517.660
16.4450,7388.833
16.5100,6924.390
16.5750,6343.454
16.6400,6171.026
16.7050,6229.280
16.7700,6161.331
16.8350,5847.891
16.9000,5388.508
16.9650,4856.551
17.0300,4548.592
17.0950,4258.469
17.1600,3939.682
17.2250,3273.228
17.2900,2690.582
17.3550,2297.234
17.4200,2116.154
17.4850,1935.951
17.5500,1744.544
17.6150,1465.524
17.6800,1185.655
17.7450,1041.478
17.8100,1169.192
17.8750,1220.636
17.9400,1014.000
