X,Y
0.0000,102.000
0.0650,123.341
0.1300,143.175
0.1950,138.471
0.2600,117.913
0.3250,92.786
0.3900,98.107
0.4550,114.978
0.5200,111.156
0.5850,96.358
0.6500,101.040
0.7150,126.794
0.7800,126.548
0.8450,116.500
0.9100,119.959
0.9750,133.171
1.0400,125.589
1.1050,124.344
1.1700,125.062
1.2350,130.623
1.3000,136.937
1.3650,148.447
1.4300,158.923
1.4950,153.795
1.5600,176.534
1.6250,226.999
1.6900,266.433
1.7550,256.098
1.8200,251.490
1.8850,251.320
1.9500,241.468
2.0150,233.932
2.0800,240.659
2.1450,248.886
2.2100,243.818
2.2750,242.704
2.3400,251.651
2.4050,276.211
2.4700,251.922
2.5350,222.051
2.6000,178.636
2.6650,163.448
2.7300,192.488
2.7950,203.093
2.8600,187.145
2.9250,167.833
2.9900,171.131
3.0550,166.225
3.1200,168.485
3.1850,180.781
3.2500,179.052
3.3150,155.502
3.3800,143.789
3.4450,171.828
3.5100,195.059
3.5750,188.898
3.6400,184.843
3.7050,168.373
3.7700,182.809
3.8350,189.661
3.9000,187.345
3.9650,209.843
4.0300,219.245
4.0950,182.290
4.1600,155.550
4.2250,176.393
4.2900,218.216
4.3550,186.320
4.4200,192.440
4.4850,255.044
4.5500,330.247
4.6150,339.496
4.6800,334.425
4.7450,383.586
4.8100,453.924
4.8750,499.004
4.9400,459.257
5.0050,395.523
5.0700,385.302
5.1350,385.989
5.2000,356.092
5.2650,337.533
5.3300,352.499
5.3950,319.273
5.4600,255.889
5.5250,231.749
5.5900,215.287
5.6550,235.079
5.7200,279.725
5.7850,283.314
5.8500,224.191
5.9150,188.535
5.9800,206.646
6.0450,218.100
6.1100,224.662
6.1750,257.790
6.2400,300.020
6.3050,309.569
6.3700,315.852
6.4350,320.500
6.5000,299.742
6.5650,263.619
6.6300,243.649
6.6950,237.070
6.7600,226.396
6.8250,255.041
6.8900,323.075
6.9550,386.138
7.0200,337.231
7.0850,274.647
7.1500,251.831
7.2150,236.900
7.2800,207.261
7.3450,200.193
7.4100,241.731
7.4750,301.412
7.5400,306.811
7.6050,271.167
7.6700,278.294
7.7350,314.575
7.8000,309.112
7.8650,303.343
7.9300,300.239
7.9950,313.001
8.0600,288.128
8.1250,331.813
8.1900,391.041
8.2550,395.802
8.3200,360.911
8.3850,352.926
8.4500,376.390
8.5150,384.545
8.5800,371.693
8.6450,316.225
8.7100,278.351
8.7750,292.221
8.8400,307.363
8.9050,326.119
8.9700,297.233
9.0350,293.225
9.1000,311.312
9.1650,348.907
9.2300,388.138
9.2950,379.107
9.3600,381.466
9.4250,472.940
9.4900,591.703
