X,Y
0.0000,1592.000
0.0650,1571.395
0.1300,1578.161
0.1950,1564.593
0.2600,1571.432
0.3250,1479.198
0.3900,1312.889
0.4550,1161.185
0.5200,1157.321
0.5850,1228.333
0.6500,1303.506
0.7150,1253.333
0.7800,1258.000
0.8450,1327.753
0.9100,1412.000
0.9750,1460.667
1.0400,1514.420
1.1050,1601.938
1.1700,1701.222
1.2350,1656.333
1.3000,1604.235
1.3650,1583.778
1.4300,1632.000
1.4950,1780.062
1.5600,2086.704
1.6250,2398.519
1.6900,2800.494
1.7550,3113.000
1.8200,3397.198
1.8850,3566.519
1.9500,3485.481
2.0150,3282.605
2.0800,3098.679
2.1450,2978.556
2.2100,2970.136
2.2750,2962.086
2.3400,2843.000
2.4050,2621.864
2.4700,2483.321
2.5350,2451.556
2.6000,2577.556
2.6650,2670.049
2.7300,2662.519
2.7950,2591.975
2.8600,2524.420
2.9250,2409.667
2.9900,2417.815
3.0550,2497.370
3.1200,2653.222
3.1850,2648.840
3.2500,2607.383
3.3150,2610.926
3.3800,2691.395
3.4450,2584.963
3.5100,2427.333
3.5750,2290.963
3.6400,2253.160
3.7050,2284.222
3.7700,2375.729
3.8350,2466.716
3.9000,2654.889
3.9650,2807.914
4.0300,2846.679
4.0950,2669.333
4.1600,2483.975
4.2250,2480.346
4.2900,2674.815
4.3550,2883.914
4.4200,3013.346
4.4850,3021.926
4.5500,3036.691
4.6150,3026.716
4.6800,2968.444
4.7450,2903.481
4.8100,2941.679
4.8750,3065.333
4.9400,3056.889
5.0050,3022.481
5.0700,3106.926
5.1350,3143.395
5.2000,3083.988
5.2650,2853.000
5.3300,2670.481
5.3950,2612.099
5.4600,2709.704
5.5250,2714.729
5.5900,2678.160
5.6550,2619.852
5.7200,2653.210
5.7850,2437.457
5.8500,2174.222
5.9150,2028.617
5.9800,2069.457
6.0450,2152.926
6.1100,2131.691
6.1750,2041.790
6.2400,2027.667
6.3050,2010.457
6.3700,1939.938
6.4350,1948.222
6.5000,2031.407
6.5650,2070.790
6.6300,2063.963
6.6950,2110.037
6.7600,2262.235
6.8250,2388.074
6.8900,2402.321
6.9550,2359.235
7.0200,2304.000
7.0850,2304.494
7.1500,2270.000
7.2150,2204.593
7.2800,2110.815
7.3450,2039.765
7.4100,2071.963
7.4750,2128.901
7.5400,2188.309
7.6050,2106.000
7.6700,1994.296
7.7350,2016.914
7.8000,2240.519
7.8650,2526.556
7.9300,2574.876
7.9950,2506.370
8.0600,2446.074
8.1250,2545.790
8.1900,2492.778
8.2550,2360.679
8.3200,2334.630
8.3850,2478.148
8.4500,2677.136
8.5150,2660.617
8.5800,2628.074
8.6450,2705.333
8.7100,2932.543
8.7750,3168.333
8.8400,3277.370
8.9050,3260.543
8.9700,3141.333
9.0350,3046.914
9.1000,2983.160
9.1650,3052.778
9.2300,3020.222
9.2950,2836.148
9.3600,2485.111
9.4250,2382.593
9.4900,2400.840
9.5550,2549.000
9.6200,2664.580
9.6850,2739.975
9.7500,2744.519
9.8150,2711.876
9.8800,2610.346
9.9450,2592.000
10.0100,2589.951
10.0750,2629.778
10.1400,2576.148
10.2050,2532.210
10.2700,2561.543
10.3350,2705.148
10.4000,2838.160
10.4650,2951.198
10.5300,3031.000
10.5950,3087.494
10.6600,3148.827
10.7250,3161.926
10.7900,3144.346
10.8550,3094.889
10.9200,3100.963
10.9850,3017.494
11.0500,2849.395
11.1150,2596.222
11.1800,2382.025
11.2450,2375.753
11.3100,2382.741
11.3750,2372.926
11.4400,2314.235
11.5050,2391.148
11.5700,2580.309
11.6350,2803.346
11.7000,2925.222
11.7650,3027.543
11.8300,3111.271
11.8950,3114.778
11.9600,3015.815
12.0250,2990.815
12.0900,3150.074
12.1550,3478.840
12.2200,3709.506
12.2850,3650.667
12.3500,3144.593
12.4150,2588.271
12.4800,2236.519
12.5450,2351.049
12.6100,2715.370
12.6750,3073.852
12.7400,3095.876
12.8050,3131.185
12.8700,3236.889
12.9350,3511.012
13.0000,3763.309
13.0650,3965.037
13.1300,3977.235
13.1950,4031.852
13.2600,3940.889
13.3250,3710.136
13.3900,3130.901
13.4550,2527.556
13.5200,2131.037
13.5850,1969.272
13.6500,1776.778
13.7150,1444.148
13.7800,1036.086
13.8450,831.074
13.9100,787.839
13.9750,872.543
14.0400,913.000
14.1050,984.161
14.1700,1116.370
14.2350,1368.296
14.3000,1596.926
14.3650,1600.123
14.4300,1425.333
14.4950,1164.284
14.5600,1013.815
14.6250,1032.556
14.6900,1022.679
14.7550,901.185
14.8200,641.259
14.8850,545.321
14.9500,582.395
15.0150,720.482
15.0800,775.790
15.1450,774.580
15.2100,768.667
15.2750,853.333
15.3400,907.679
15.4050,926.259
15.4700,966.506
15.5350,1107.691
15.6000,1311.333
15.6650,1420.741
15.7300,1160.148
15.7950,769.000
