X,Y
0.0000,1135.000
0.0650,1253.995
0.1300,1262.296
0.1950,1291.520
0.2600,1209.066
0.3250,1259.773
0.3900,1307.657
0.4550,1339.098
0.5200,1486.778
0.5850,1484.140
0.6500,1399.380
0.7150,1463.794
0.7800,1563.364
0.8450,1607.158
0.9100,1572.744
0.9750,1600.689
1.0400,1489.617
1.1050,1577.401
1.1700,1611.741
1.2350,1595.813
1.3000,1707.319
1.3650,1787.876
1.4300,1869.691
1.4950,2053.193
1.5600,2068.061
1.6250,2306.570
1.6900,2405.464
1.7550,2685.422
1.8200,2853.013
1.8850,3198.467
1.9500,3395.981
2.0150,4047.435
2.0800,5269.923
2.1450,6407.546
2.2100,7393.137
2.2750,8439.232
2.3400,9100.681
2.4050,9376.971
2.4700,9466.805
2.5350,9495.053
2.6000,9446.963
2.6650,8995.971
2.7300,8401.942
2.7950,7788.760
2.8600,7468.024
2.9250,7713.958
2.9900,7563.451
3.0550,8054.575
3.1200,7997.918
3.1850,7779.309
3.2500,7873.557
3.3150,7992.367
3.3800,8352.499
3.4450,9051.963
3.5100,9172.681
3.5750,9867.101
3.6400,10005.222
3.7050,10257.668
3.7700,10757.084
3.8350,11014.913
3.9000,11175.087
3.9650,10885.995
4.0300,10573.620
4.0950,10518.802
4.1600,10255.887
4.2250,9762.678
4.2900,9340.251
4.3550,8784.533
4.4200,8226.271
4.4850,7803.673
4.5500,7721.470
4.6150,7855.802
4.6800,8343.533
4.7450,8704.950
4.8100,8736.058
4.8750,8970.775
4.9400,9022.090
5.0050,8935.330
5.0700,8913.480
5.1350,8840.143
5.2000,8567.456
5.2650,8129.153
5.3300,7853.784
5.3950,7489.517
5.4600,7130.932
5.5250,6907.132
5.5900,6848.812
5.6550,7062.697
5.7200,7056.404
5.7850,7256.375
5.8500,7289.443
5.9150,7299.422
5.9800,7387.219
6.0450,7216.259
6.1100,7093.032
6.1750,7099.135
6.2400,7292.412
6.3050,7109.372
6.3700,7032.264
6.4350,7067.092
6.5000,6849.731
6.5650,6805.488
6.6300,6751.808
6.6950,6838.195
6.7600,7033.857
6.8250,7380.665
6.8900,7581.195
6.9550,7869.002
7.0200,7945.810
7.0850,7854.963
7.1500,7932.744
7.2150,8099.932
7.2800,7980.974
7.3450,7783.525
7.4100,8025.878
7.4750,7620.288
7.5400,7566.926
7.6050,7356.013
7.6700,7338.024
7.7350,7343.596
7.8000,7534.528
7.8650,7570.319
7.9300,7889.427
7.9950,8181.588
8.0600,8516.095
8.1250,8838.119
8.1900,8927.271
8.2550,8682.040
8.3200,8287.385
8.3850,7881.958
8.4500,7385.391
8.5150,7338.198
8.5800,7137.639
8.6450,7282.731
8.7100,7267.678
8.7750,6944.261
8.8400,6794.868
8.9050,6831.491
8.9700,6622.839
9.0350,6582.087
9.1000,6567.013
9.1650,6379.361
9.2300,6355.338
9.2950,6329.805
9.3600,6288.599
9.4250,6175.781
9.4900,6190.061
9.5550,6265.192
9.6200,6253.493
9.6850,6304.688
9.7500,6380.129
9.8150,6614.227
9.8800,6647.842
9.9450,6788.554
10.0100,6775.546
10.0750,6852.921
10.1400,7032.208
10.2050,7178.675
10.2700,7177.789
10.3350,7267.079
10.4000,7019.684
10.4650,7355.111
10.5300,7856.372
10.5950,7730.675
10.6600,7978.401
10.7250,7892.309
10.7900,7606.314
10.8550,7612.011
10.9200,8175.203
10.9850,7670.436
11.0500,8015.536
11.1150,7972.087
11.1800,7534.633
11.2450,7728.974
11.3100,7471.625
11.3750,7771.240
11.4400,7759.517
11.5050,7612.496
11.5700,7381.776
11.6350,7441.472
11.7000,7275.612
11.7650,7159.974
11.8300,7253.670
11.8950,7422.388
11.9600,7394.464
12.0250,7279.617
12.0900,7540.188
12.1550,7371.667
12.2200,7517.306
12.2850,7563.726
12.3500,7951.166
12.4150,7664.684
12.4800,7695.113
12.5450,7590.741
12.6100,7690.071
12.6750,7161.778
12.7400,7198.895
12.8050,7035.092
12.8700,7157.802
12.9350,7055.436
13.0000,7006.688
13.0650,7142.810
13.1300,7539.203
13.1950,7894.222
13.2600,8062.963
13.3250,8304.871
13.3900,8399.794
13.4550,8466.127
13.5200,8334.448
13.5850,8128.058
13.6500,8407.031
13.7150,8652.332
13.7800,8588.298
13.8450,8841.108
13.9100,8724.045
13.9750,8939.076
14.0400,8128.309
14.1050,8078.826
14.1700,7683.398
14.2350,7213.549
14.3000,7271.966
14.3650,7269.422
14.4300,7150.243
14.4950,6820.185
14.5600,6866.406
14.6250,6571.881
14.6900,6501.520
14.7550,6477.765
14.8200,6332.232
14.8850,6442.019
14.9500,6526.019
15.0150,6535.581
15.0800,6463.934
15.1450,6538.026
15.2100,6610.359
15.2750,6513.895
15.3400,6736.055
15.4050,6738.277
15.4700,7000.351
15.5350,6759.485
15.6000,6967.050
15.6650,6937.594
15.7300,6991.900
15.7950,7080.148
15.8600,7183.119
15.9250,7470.068
15.9900,7489.989
16.0550,7758.818
16.1200,7921.852
16.1850,8200.686
16.2500,8329.958
16.3150,8503.525
16.3800,8448.229
16.4450,8382.865
16.5100,8384.620
16.5750,8619.108
16.6400,8961.462
16.7050,9116.203
16.7700,9138.570
16.8350,8935.899
16.9000,8547.245
16.9650,8210.330
17.0300,7780.913
17.0950,7467.240
17.1600,7318.512
17.2250,7058.792
17.2900,6851.261
17.3550,6889.499
17.4200,7020.720
17.4850,6996.480
17.5500,7233.895
17.6150,7296.077
17.6800,7416.657
17.7450,7055.261
17.8100,6865.372
17.8750,6787.720
17.9400,6705.058
18.0050,6721.034
18.0700,6855.976
18.1350,6979.744
18.2000,7299.839
18.2650,7452.454
18.3300,7724.235
18.3950,7699.359
18.4600,7499.596
18.5250,7196.277
18.5900,6913.910
18.6550,6741.623
18.7200,6380.288
18.7850,6370.269
18.8500,6178.140
18.9150,6367.174
18.9800,6306.367
19.0450,6287.573
19.1100,6359.246
19.1750,6232.047
19.2400,6359.290
19.3050,6348.126
19.3700,6188.309
19.4350,6231.702
19.5000,6106.918
19.5650,6251.826
19.6300,6394.190
19.6950,6738.140
19.7600,7005.583
19.8250,6997.855
19.8900,7009.237
19.9550,7057.757
20.0200,6949.462
20.0850,7075.908
20.1500,7074.596
20.2150,6929.359
20.2800,6816.543
20.3450,7063.042
20.4100,7032.884
20.4750,7590.288
20.5400,8002.488
20.6050,8716.757
20.6700,9260.137
20.7350,9899.274
20.8000,9972.470
20.8650,10128.895
20.9300,10026.330
20.9950,9668.747
