X,Y
0.0000,31.000
0.0650,17.762
0.1300,15.043
0.1950,9.190
0.2600,17.260
0.3250,45.477
0.3900,83.893
0.4550,84.075
0.5200,49.344
0.5850,32.917
0.6500,51.803
0.7150,70.875
0.7800,72.675
0.8450,74.910
0.9100,101.428
0.9750,131.027
1.0400,131.715
1.1050,104.799
1.1700,86.347
1.2350,71.376
1.3000,64.192
1.3650,56.940
1.4300,60.073
1.4950,67.250
1.5600,72.964
1.6250,59.041
1.6900,41.595
1.7550,36.246
1.8200,63.396
1.8850,97.554
1.9500,117.274
2.0150,114.370
2.0800,124.165
2.1450,133.231
2.2100,124.522
2.2750,91.614
2.3400,80.251
2.4050,104.543
2.4700,156.321
2.5350,181.696
2.6000,170.645
2.6650,165.187
2.7300,207.063
2.7950,287.758
2.8600,344.785
2.9250,341.722
2.9900,323.500
3.0550,315.784
3.1200,314.595
3.1850,334.711
3.2500,407.100
3.3150,562.123
3.3800,744.757
3.4450,890.287
3.5100,1010.767
3.5750,1149.794
3.6400,1275.171
3.7050,1327.204
3.7700,1207.794
3.8350,1059.289
3.9000,1007.166
3.9650,1048.318
4.0300,1145.958
4.0950,1213.282
4.1600,1156.752
4.2250,1094.973
4.2900,1136.833
4.3550,1284.332
4.4200,1307.984
4.4850,1224.250
4.5500,1174.976
4.6150,1205.913
4.6800,1313.907
4.7450,1413.756
4.8100,1423.629
4.8750,1456.198
4.9400,1473.264
5.0050,1423.216
5.0700,1345.289
5.1350,1266.183
5.2000,1218.980
5.2650,1237.146
5.3300,1234.919
5.3950,1221.432
5.4600,1092.361
5.5250,1080.657
5.5900,1161.219
5.6550,1401.551
5.7200,1641.252
5.7850,1783.620
5.8500,1747.754
5.9150,1693.992
5.9800,1591.333
6.0450,1477.135
6.1100,1407.636
6.1750,1456.074
6.2400,1524.890
6.3050,1496.268
6.3700,1336.369
6.4350,1286.963
6.5000,1338.503
6.5650,1463.192
6.6300,1554.838
6.6950,1567.324
6.7600,1435.391
6.8250,1228.495
6.8900,1043.569
6.9550,952.448
7.0200,944.526
7.0850,999.900
7.1500,999.401
7.2150,960.843
7.2800,916.704
7.3450,923.680
7.4100,1005.851
7.4750,1128.167
7.5400,1238.224
7.6050,1371.725
7.6700,1480.988
7.7350,1503.988
7.8000,1469.147
7.8650,1420.588
7.9300,1445.133
7.9950,1503.211
8.0600,1547.068
8.1250,1527.504
8.1900,1512.223
8.2550,1506.075
8.3200,1464.181
8.3850,1501.029
8.4500,1705.765
8.5150,1966.958
8.5800,2099.817
8.6450,1992.740
8.7100,1798.709
8.7750,1720.856
8.8400,1740.130
8.9050,1754.429
8.9700,1651.000
9.0350,1481.622
9.1000,1389.354
9.1650,1433.958
9.2300,1587.412
9.2950,1692.723
9.3600,1622.112
9.4250,1510.740
9.4900,1441.438
9.5550,1479.329
9.6200,1554.919
9.6850,1590.177
9.7500,1555.528
9.8150,1520.010
9.8800,1464.623
9.9450,1415.401
10.0100,1346.643
10.0750,1274.858
10.1400,1196.939
10.2050,1153.844
10.2700,1143.193
10.3350,1137.850
10.4000,1072.384
10.4650,967.083
10.5300,875.580
10.5950,853.566
10.6600,889.091
10.7250,953.042
10.7900,1006.156
10.8550,1029.259
10.9200,1114.308
10.9850,1189.917
11.0500,1271.463
11.1150,1376.547
11.1800,1429.785
11.2450,1418.571
11.3100,1281.327
11.3750,1207.217
11.4400,1249.011
11.5050,1344.404
11.5700,1431.221
11.6350,1420.687
11.7000,1357.648
11.7650,1360.565
11.8300,1410.306
11.8950,1484.959
11.9600,1456.333
12.0250,1338.972
12.0900,1390.542
12.1550,1606.505
12.2200,1754.674
12.2850,1678.084
12.3500,1464.758
12.4150,1347.062
12.4800,1400.422
12.5450,1499.816
12.6100,1502.794
12.6750,1432.679
12.7400,1434.841
12.8050,1445.402
12.8700,1440.094
12.9350,1489.580
13.0000,1597.389
13.0650,1772.230
13.1300,1722.596
13.1950,1606.488
13.2600,1478.304
13.3250,1396.100
13.3900,1316.276
13.4550,1282.000
13.5200,1311.709
13.5850,1355.508
13.6500,1293.572
13.7150,1228.197
13.7800,1220.153
13.8450,1246.255
13.9100,1213.364
13.9750,1150.139
14.0400,1064.191
14.1050,1110.527
14.1700,1299.202
14.2350,1528.110
14.3000,1567.034
14.3650,1389.791
14.4300,1178.080
14.4950,1122.555
14.5600,1223.159
14.6250,1300.173
14.6900,1195.489
14.7550,1005.008
14.8200,969.216
14.8850,1165.223
14.9500,1437.500
15.0150,1579.729
15.0800,1516.746
15.1450,1343.443
15.2100,1178.379
15.2750,1089.565
15.3400,1094.367
15.4050,1111.970
15.4700,1078.637
15.5350,1030.476
15.6000,1063.212
15.6650,1198.547
15.7300,1282.057
15.7950,1215.458
15.8600,1079.388
15.9250,1012.539
15.9900,1030.580
16.0550,1075.945
16.1200,1081.924
16.1850,1007.162
16.2500,877.461
16.3150,768.324
16.3800,686.285
16.4450,629.667
16.5100,599.692
16.5750,595.773
16.6400,612.469
16.7050,598.471
16.7700,550.328
16.8350,542.319
16.9000,616.597
16.9650,672.938
17.0300,586.374
17.0950,408.034
17.1600,367.221
17.2250,439.742
17.2900,496.306
17.3550,365.935
17.4200,185.830
17.4850,91.954
17.5500,107.056
17.6150,169.306
17.6800,223.493
17.7450,211.911
17.8100,166.686
17.8750,112.416
17.9400,86.000
