X,Y
0.0000,42.000
0.0650,32.896
0.1300,23.782
0.1950,35.367
0.2600,52.265
0.3250,62.535
0.3900,53.958
0.4550,38.207
0.5200,35.101
0.5850,29.756
0.6500,17.342
0.7150,24.189
0.7800,43.391
0.8450,84.845
0.9100,88.965
0.9750,49.336
1.0400,26.158
1.1050,39.958
1.1700,86.463
1.2350,114.035
1.3000,114.041
1.3650,162.359
1.4300,240.283
1.4950,281.336
1.5600,281.924
1.6250,326.735
1.6900,516.470
1.7550,722.596
1.8200,727.218
1.8850,635.426
1.9500,651.008
2.0150,950.035
2.0800,1405.865
2.1450,1521.489
2.2100,1364.938
2.2750,1130.276
2.3400,945.879
2.4050,690.762
2.4700,480.551
2.5350,377.369
2.6000,407.575
2.6650,463.387
2.7300,408.162
2.7950,357.591
2.8600,427.181
2.9250,654.659
2.9900,813.530
3.0550,728.866
3.1200,592.413
3.1850,600.703
3.2500,756.019
3.3150,888.257
3.3800,884.969
3.4450,847.519
3.5100,854.617
3.5750,841.457
3.6400,837.379
3.7050,751.307
3.7700,604.894
3.8350,461.578
3.9000,421.478
3.9650,522.470
4.0300,700.887
4.0950,874.117
4.1600,850.518
4.2250,764.788
4.2900,761.213
4.3550,848.750
4.4200,1076.301
4.4850,1437.273
4.5500,2064.885
4.6150,2842.327
4.6800,3435.281
4.7450,3601.850
4.8100,3872.031
4.8750,4365.406
4.9400,5049.832
5.0050,5408.461
5.0700,5224.321
5.1350,5078.429
5.2000,5161.038
5.2650,5107.660
5.3300,4514.179
5.3950,3596.197
5.4600,2882.530
5.5250,2563.092
5.5900,2374.872
5.6550,2061.959
5.7200,1683.481
5.7850,1372.799
5.8500,1271.087
5.9150,1219.880
5.9800,1103.114
6.0450,896.471
6.1100,820.173
6.1750,806.370
6.2400,795.897
6.3050,691.498
6.3700,726.765
6.4350,972.426
6.5000,1284.074
6.5650,1381.002
6.6300,1170.541
6.6950,943.233
6.7600,795.275
6.8250,715.794
6.8900,649.556
6.9550,645.939
7.0200,706.943
7.0850,747.374
7.1500,638.878
7.2150,543.940
7.2800,583.985
7.3450,813.483
7.4100,1068.074
7.4750,1094.694
7.5400,981.521
7.6050,889.186
7.6700,938.376
7.7350,1032.156
7.8000,1037.228
7.8650,937.102
7.9300,847.325
7.9950,878.655
8.0600,957.594
8.1250,1058.835
8.1900,1053.185
8.2550,969.908
8.3200,760.579
8.3850,617.673
8.4500,596.412
8.5150,716.537
8.5800,973.160
8.6450,1243.604
8.7100,1235.235
8.7750,1057.418
8.8400,905.591
8.9050,890.983
8.9700,979.180
9.0350,1082.313
9.1000,1269.663
9.1650,1522.420
9.2300,1700.313
9.2950,1756.836
9.3600,1535.263
9.4250,1218.807
9.4900,946.223
9.5550,848.578
9.6200,829.678
9.6850,994.736
9.7500,1508.129
9.8150,2161.436
9.8800,2508.673
9.9450,2134.861
10.0100,1368.981
10.0750,982.887
10.1400,963.044
10.2050,1214.418
10.2700,1487.184
10.3350,1749.097
10.4000,1900.473
10.4650,2033.257
10.5300,1960.738
10.5950,1850.556
10.6600,1737.118
10.7250,1634.466
10.7900,1592.685
10.8550,1550.864
10.9200,1556.063
10.9850,1536.255
11.0500,1444.831
11.1150,1507.805
11.1800,1580.656
11.2450,1616.644
11.3100,1500.898
11.3750,1411.481
11.4400,1445.562
11.5050,1568.115
11.5700,1646.295
11.6350,1626.746
11.7000,1492.562
11.7650,1408.172
11.8300,1363.390
11.8950,1386.377
11.9600,1463.231
12.0250,1470.587
12.0900,1437.026
12.1550,1509.105
12.2200,1723.365
12.2850,2044.121
12.3500,2065.942
12.4150,1820.393
12.4800,1564.451
12.5450,1506.788
12.6100,1596.644
12.6750,1607.970
12.7400,1521.681
12.8050,1501.083
12.8700,1514.987
12.9350,1418.972
13.0000,1346.259
13.0650,1371.257
13.1300,1573.668
13.1950,1882.226
13.2600,2193.625
13.3250,2285.391
13.3900,2082.693
13.4550,1808.289
13.5200,1656.769
13.5850,1515.188
13.6500,1475.295
13.7150,1371.962
13.7800,1201.717
13.8450,963.816
13.9100,872.403
13.9750,880.242
14.0400,1118.515
14.1050,1348.663
14.1700,1529.617
14.2350,1570.511
14.3000,1572.564
14.3650,1381.637
14.4300,1084.022
14.4950,914.502
14.5600,1050.025
14.6250,1466.050
14.6900,1706.066
14.7550,1533.109
14.8200,1162.731
14.8850,971.331
14.9500,924.499
15.0150,925.905
15.0800,782.961
15.1450,591.457
15.2100,555.306
15.2750,632.472
15.3400,775.027
15.4050,840.933
15.4700,846.322
15.5350,891.690
15.6000,994.242
15.6650,1060.260
15.7300,1017.728
15.7950,1040.243
15.8600,1183.458
15.9250,1417.703
15.9900,1431.144
16.0550,1057.976
16.1200,734.575
16.1850,660.075
16.2500,844.018
16.3150,1229.537
16.3800,1416.040
16.4450,1317.352
16.5100,1162.673
16.5750,1060.599
16.6400,970.656
16.7050,941.134
16.7700,960.336
16.8350,1036.916
16.9000,1099.162
16.9650,1272.301
17.0300,1475.349
17.0950,1684.064
17.1600,1931.542
17.2250,2147.448
17.2900,2064.158
17.3550,1822.734
17.4200,1603.990
17.4850,1562.707
17.5500,1706.602
17.6150,1739.635
17.6800,1469.061
17.7450,1118.696
17.8100,950.894
17.8750,979.850
17.9400,1126.940
18.0050,1087.442
18.0700,886.443
18.1350,765.886
18.2000,867.639
18.2650,1337.769
18.3300,1801.295
18.3950,1597.150
18.4600,969.821
18.5250,396.727
18.5900,176.894
18.6550,169.125
18.7200,247.985
18.7850,235.576
18.8500,146.056
18.9150,98.556
18.9800,85.409
19.0450,105.158
19.1100,101.996
19.1750,92.409
19.2400,84.983
19.3050,70.041
19.3700,65.355
19.4350,43.657
19.5000,20.246
19.5650,6.694
19.6300,0.138
19.6950,4.930
19.7600,3.706
19.8250,0.492
19.8900,0.000
19.9550,0.000
