Human Uniprot	Xenopus protein name	MLO
A1KXE4	f168b	NA
A4D1P6	wdr91	NA
A4GXA9	eme2	NA
A6NP61	zar1l	NA
A8CG34	p121c	NA
O00151	pdli1	stress granules,Stress granules
O00267	spt5h	NA
O00399	dctn6	Nucleoli
O00423	emal1	NA
O00425	if23b	Stress granules,P-bodies
O00472	ell2	NA
O00499	bin1	NA
O00512	bcl9	NA
O00571	ddx3	nucleolus, stress granules,PML bodies,nucleolus, stress granules,Stress granules,nucleolus, stress granules,Nucleoli
O00629	ima4	Nucleoli
O14497	ari1a	NA
O14524	t194a	NA
O14617	ap3d1	NA
O14686	mll2	NA
O14745	nhrf1	speckles,Speckles
O14795	un13b	NA
O14908	gipc1	NA
O14964	hgs	NA
O14974	mypt1	NA
O15013	arhga	NA
O15040	tcpr2	NA
O15066	kif3b	Nucleoli
O15259	nphp1	NA
O15304	siva	NA
O43237	dc1l2	NA
O43310	ctif	NA
O43395	prpf3	nucleolus, speckles, Cajal bodies,Nucleoli,nucleolus, speckles, Cajal bodies,Cajal bodies
O43399	tpd54	NA
O43491	41	NA
O43583	denr	NA
O43683	bub1	NA
O43829	zf161	NA
O60256	kprb	NA
O60264	smca5	nucleolus, Mediator complex, P-bodies,Nucleoli,nucleolus, Mediator complex, P-bodies,Superenhancers-Mediator,nucleolus, Mediator complex, P-bodies,P-bodies
O60341	kdm1a	Superenhancers-Mediator
O60522	tdrd6	NA
O60716	ctnd1	Stress granules,Superenhancers-Mediator
O60832	dkc1	Stress granules,Nucleoli,Cajal bodies
O60841	if2p	NA
O75153	k0664	NA
O75179	anr17	NA
O75182	sin3b	NA
O75351	vps4b	NA
O75362	zn217	NA
O75396	sc22b	NA
O75400	pr40a	NA
O75475	psip1	NA
O75486	supt3	NA
O75533	sf3b1	P-bodies, speckles,P-bodies
O75534	csde1	Stress granules
O75631	upk3a	NA
O75694	nu155	NPC
O75717	wdhd1	NA
O75792	rnh2a	NA
O75821	ei3gb	Stress granules
O75822	eif3j	NA
O75907	dgat1	Nucleoli
O75940	spf30	speckles, Cajal bodies,Nucleoli,speckles, Cajal bodies,Speckles
O94761	recq4	NA
O94763	rmp	NA
O94776	mta2	Mediator complex,Superenhancers-Mediator
O94927	haus5	NA
O94967	wdr47	NA
O95049	zo3	NA
O95155	ube4b	Speckles
O95197	rtn3a	NA
O95239	kif4	NA
O95292	vapb	NA
O95400	cd2b2	NA
O95453	parn	Nucleoli
O95613	pcnt	NA
O95759	tbcd8	NA
O95817	bag3	Stress granules
O95819	m4k4	Stress granules
O96028	nsd2	NA
P01100	fos	NA
P02545	laml3	nucleolus, stress granules,Stress granules,nucleolus, stress granules,Nucleoli
P02686	mbp	NA
P04075	aldoa	NA
P04114	vita2	NA
P05783	k118b	Nucleoli
P05787	k2c8	nucleolus
P06748	npm	nucleolus, PML,PML bodies,nucleolus, PML,Nucleoli
P07814	syep	NA
P09234	ru1c	Nucleoli
P09884	dpola	NA
P0C1S8	wee2a	NA
P10398	araf	Nucleoli
P11388	top2a	nucleolus, P-bodies,Nucleoli,nucleolus, P-bodies,P-bodies
P11926	dcor1	NA
P12270	tpr	nucleolus, NPC,Nucleoli,nucleolus, NPC,NPC
P13051	ung	NA
P13639	ef2	nucleolus
P13807	gys1	NA
P13861	kap2	NA
P14625	enp1	NA
P14921	ets1a	NA
P15104	glna	NA
P17643	tyrp1	NA
P18583	son	NA
P18615	nelfe	NA
P18858	dnli1	NA
P18887	xrcc1	nucleolus,Nucleoli
P19174	plcg1	NA
P20020	at2b1	NA
P21333	flna	nucleolus,Nucleoli
P23443	ks6b1	NA
P23588	if4b	Stress granules
P24928	rpb1	speckles
P25054	apc	NA
P25205	mcm3	nucleolus, replication foci, stress granules,Nucleoli
P26641	ef1ga	Nucleoli
P27694	rfa1	PML bodies
P27708	pyr1	NA
P27816	map4	stress granules,Stress granules,stress granules,Nucleoli
P28290	ssfa2	NA
P28482	mk01	NA
P28715	ercc5	NA
P29353	shc1	NA
P29966	marcs	NA
P30260	cdc27	NA
P30304	mpip1	NA
P30622	clip1	NA
P31939	pur9	NA
P31943	hnrh1	nucleolus, speckles,Nucleoli
P33240	cstf2	NA
P33981	ttk	nucleolus,Nucleoli
P33991	mcm4	nucleolus, stress granules,Nucleoli,nucleolus, stress granules,Stress granules
P33992	mcm5	Stress granules,Nucleoli
P35251	rfc1	nucleolus,Nucleoli
P35269	t2fa	Cajal bodies,Cajal bodies,Cajal bodies,Nucleoli
P35658	nu214	NPC
P35659	dek	Nucleoli
P36507	mp2k1	NA
P41225	sox3a	NA
P41229	kdm5c	NA
P42167	lap2b	NA
P42695	cndd3	Nucleoli
P42858	hd	NA
P45974	ubp5	Stress granules
P46013	ki67	nucleolus,Nucleoli,nucleolus,Stress granules
P46063	recq1	Nucleoli
P46100	atrx	NA
P46940	iqga1	NA
P48444	copd	NA
P48643	tcpe	NA
P49023	paxi	NA
P49069	camlg	Nucleoli
P49281	nram2	NA
P49321	hibn	NA
P49756	rbm25	P-bodies
P49790	nu153	NPC,NPC
P49792	rbp2	PML, NPC,NPC
P49815	tsc2	NA
P50552	vasp	Stress granules
P50851	lrba	NA
P51532	smca4	Nucleoli
P51610	hcfc1	NA
P51812	ks6a3	Stress granules,Nucleoli
P52272	hnrpm	Nucleoli,P-bodies,PML bodies
P52594	agfg1	NA
P52701	msh6	NA
P52948	nup98	nuclear pore complex,Stress granules,nuclear pore complex,NPC
P53350	plk1	NA
P53396	acly	NA
P54727	rd23b	NA
P55036	psmd4	NA
P55196	afad	NA
P55211	casp9	NA
P55212	casp6	NA
P57764	gspf	NA
P61018	rab4b	NA
P61978	hnrpk	stress granules, paraspeckles,Nucleoli
P62136	pp1a	nucleolus,Nucleoli
P62140	pp1b	nucleolus
P62316	smd2	Nucleoli
P62333	rs10	NA
P62701	rs4	P-bodies
P67809	ybox1	Stress granules
P78317	rnf4	PML
P78344	if4g2	stress granules,Stress granules
P82094	tmf1	NA
P84243	h33	NA
P86791	ccz1	NA
P87377	vegta	NA
P98170	xiap	Speckles
Q00341	vigln	NA
Q00403	tf2b	Nucleoli
Q00537	cdk17	NA
Q00839	hnrpu	P-bodies,Nucleoli
Q01167	foxk2	NA
Q01518	cap1	Stress granules
Q04637	if4g1	stress granules,Stress granules
Q05086	ube3a	NA
Q05209	ptn12	NA
Q05519	srs11	speckles,Speckles
Q06210	gfpt1	Stress granules,Nucleoli
Q07157	zo1	NA
Q07866	klc1	Stress granules
Q08170	fmra	Stress granules
Q08174	pcdh1	Nucleoli
Q08357	s20a2	NA
Q08378	goga3	NA
Q09161	nbp1a	P-bodies
Q09472	ep300	superenhancers, Mediator complex,Superenhancers-Mediator
Q09666	ahnk	NA
Q0VF96	cgnl1	NA
Q10570	cpsf1	Superenhancers-Mediator
Q12824	snf5	Nucleoli
Q13098	csn1	NA
Q13111	ca1ab	NA
Q13112	caf1b	NA
Q13177	pak2	NA
Q13242	srsf9	nucleolus,Nucleoli
Q13263	tif1b	Nucleoli
