O00444	PLK4_HUMAN	plk4
O14641	DVL2_HUMAN	dvl2
O14920	IKKB_HUMAN	ikkb
O15350	P73_HUMAN	p73
O15392	BIRC5_HUMAN	bi52a
O43474	KLF4_HUMAN	klf4
O43663	PRC1_HUMAN	prc1
O43852	CALU_HUMAN	calu
O60285	NUAK1_HUMAN	nuak1
O60341	KDM1A_HUMAN	kdm1a
O60563	CCNT1_HUMAN	ccnt1
O60566	BUB1B_HUMAN	bub1b
O75170	PP6R2_HUMAN	saps2
O95251	KAT7_HUMAN	kat7
O95271	TNKS1_HUMAN	tnks1
O95613	PCNT_HUMAN	pcnt
O96017	CHK2_HUMAN	chk2
P04637	P53_HUMAN	p53
P08238	HS90B_HUMAN	hs90b
P0DMV8	HS71A_HUMAN	hsp72
P14635	CCNB1_HUMAN	ccnb1
P15336	ATF2_HUMAN	atf2
P18031	PTN1_HUMAN	ptn1
P25490	TYY1_HUMAN	tyy1
P30291	WEE1_HUMAN	wee1b
P30304	MPIP1_HUMAN	mpip1
P30626	SORCN_HUMAN	sorcn
P33981	TTK_HUMAN	ttk
P35222	CTNB1_HUMAN	ctnb
P35568	IRS1_HUMAN	irs1b
P36507	MP2K2_HUMAN	mp2k2
P37840	SYUA_HUMAN	syua
P38398	BRCA1_HUMAN	brca1
P42695	CNDD3_HUMAN	cndd3
P42898	MTHR_HUMAN	mthr
P46531	NOTC1_HUMAN	notch
P46937	YAP1_HUMAN	yap1
P47736	RPGP1_HUMAN	rpgp1
P49959	MRE11_HUMAN	mre11
P51587	BRCA2_HUMAN	brca2
P53350	PLK1_HUMAN	plk1
P54274	TERF1_HUMAN	terf1
P60484	PTEN_HUMAN	pten
P61160	ARP2_HUMAN	arp2a
P62258	1433E_HUMAN	1433e
P62826	RAN_HUMAN	ran
Q00613	HSF1_HUMAN	hsf
Q00987	MDM2_HUMAN	mdm2
Q02750	MP2K1_HUMAN	mp2k1
Q06609	RAD51_HUMAN	ra51a
Q07817	B2CL1_HUMAN	bcl2
Q08050	FOXM1_HUMAN	foxm1
Q12778	FOXO1_HUMAN	foxo1
Q12834	CDC20_HUMAN	cdc20
Q13042	CDC16_HUMAN	cdc16
Q13127	REST_HUMAN	resta
Q13158	FADD_HUMAN	fadd
Q13188	STK3_HUMAN	stk3
Q13416	ORC2_HUMAN	orc2
Q13526	PIN1_HUMAN	pin1
Q14203	DCTN1_HUMAN	dctn1
Q14674	ESPL1_HUMAN	espl1
Q14790	CASP8_HUMAN	casp8
Q15013	MD2BP_HUMAN	md2bp
