Gene_designations	OLN	Swiss-Prot-AC	Entry	SGD_X_ref
AAC1	YMR056C	P04710	ADT1_YEAST	S000004660
AAC3	YBR085W	P18238	ADT3_YEAST	S000000289
AAD10	YJR155W	P47182	AAD10_YEAST	S000003916
AAD14	YNL331C	P42884	AAD14_YEAST	S000005275
AAD15	YOL165C	Q08361	AAD15_YEAST	S000005525
AAD16	YPL088W	Q02895	AAD16_YEAST	S000006009
AAD3	YCR107W	P25612	AAD3_YEAST	S000000704
AAD4	YDL243C	Q07747	AAD4_YEAST	S000002402
AAD6	YFL056C	P43547	AAD6_YEAST	S000001838
AAH1	YNL141W	P53909	ADE_YEAST	S000005085
AAP1	YHR047C	P37898	AAP1_YEAST	S000001089
AAR2	YBL074C	P32357	AAR2_YEAST	S000000170
AAT1	YKL106W	Q01802	AATM_YEAST	S000001589
AAT2;ASP5	YLR027C	P23542	AATC_YEAST	S000004017
ABD1	YBR236C	P32783	MCES_YEAST	S000000440
ABF1;BAF1;OBF1;REB2;SBF1	YKL112W	P14164	ABF1_YEAST	S000001595
ABF2;HIM1	YMR072W	Q02486	ABF2_YEAST	S000004676
ABM1	YJR108W	P47146	ABM1_YEAST	S000003869
ABP1	YCR088W	P15891	ABP1_YEAST	S000000684
ABP140;TRM140	YOR239W	Q08641	AB140_YEAST	S000005765
ABZ1	YNR033W	P37254	ADCS_YEAST	S000005316
ABZ2	YMR289W	Q03266	PABC_YEAST	S000004902
ACA1	YER045C	P39970	ACA1_YEAST	S000000847
ACB1;ACB	YGR037C	P31787	ACBP_YEAST	S000003269
ACC1;ABP2;FAS3;MTR7	YNR016C	Q00955	ACAC_YEAST	S000005299
ACE2	YLR131C	P21192	ACE2_YEAST	S000004121
ACF2;ENG2;PCA1	YLR144C	Q12168	ENG2_YEAST	S000004134
ACF4	YJR083C	P47129	ACF4_YEAST	S000003843
ACH1	YBL015W	P32316	ACH1_YEAST	S000000111
ACK1	YDL203C	Q07622	ACK1_YEAST	S000002362
ACL4	YDR161W	Q03771	ACL4_YEAST	S000002568
ACM1	YPL267W	Q08981	ACM1_YEAST	S000006188
ACO1;GLU1	YLR304C	P19414	ACON_YEAST	S000004295
ACO2	YJL200C	P39533	ACON2_YEAST	S000003736
ACP1	YKL192C	P32463	ACPM_YEAST	S000001675
ACS1	YAL054C	Q01574	ACS1_YEAST	S000000050
ACS2	YLR153C	P52910	ACS2_YEAST	S000004143
ACT1;ABY1;END7	YFL039C	P60010	ACT_YEAST	S000001855
ADA2	YDR448W	Q02336	ADA2_YEAST	S000002856
ADD37	YMR184W	Q03233	ADD37_YEAST	S000004796
ADD66;PBA2;POC2	YKL206C	P36040	POC2_YEAST	S000001689
ADE1	YAR015W	P27616	PUR7_YEAST	S000000070
ADE12	YNL220W	P80210	PURA_YEAST	S000005164
ADE13	YLR359W	Q05911	PUR8_YEAST	S000004351
ADE16	YLR028C	P54113	PUR91_YEAST	S000004018
ADE17	YMR120C	P38009	PUR92_YEAST	S000004727
ADE2	YOR128C	P21264	PUR6_YEAST	S000005654
ADE3	YGR204W	P07245	C1TC_YEAST	S000003436
ADE4	YMR300C	P04046	PUR1_YEAST	S000004915
ADE5,7	YGL234W	P07244	PUR2_YEAST	S000003203
ADE6	YGR061C	P38972	PUR4_YEAST	S000003293
ADE8	YDR408C	P04161	PUR3_YEAST	S000002816
ADF1	YCL058W-A	Q2V2Q1	ADF1_YEAST	S000028518
ADH1;ADC1	YOL086C	P00330	ADH1_YEAST	S000005446
ADH2;ADR2	YMR303C	P00331	ADH2_YEAST	S000004918
ADH3	YMR083W	P07246	ADH3_YEAST	S000004688
ADH4;ZRG5	YGL256W	P10127	ADH4_YEAST	S000003225
ADH5	YBR145W	P38113	ADH5_YEAST	S000000349
ADH6	YMR318C	Q04894	ADH6_YEAST	S000004937
ADH7	YCR105W	P25377	ADH7_YEAST	S000000702
ADI1	YMR009W	Q03677	MTND_YEAST	S000004611
ADK1;AKY;AKY1;AKY2	YDR226W	P07170	KAD2_YEAST	S000002634
ADK2;AKY3;PAK3	YER170W	P26364	KAD3_YEAST	S000000972
ADO1	YJR105W	P47143	ADK_YEAST	S000003866
ADP1	YCR011C	P25371	ADP1_YEAST	S000000604
ADR1	YDR216W	P07248	ADR1_YEAST	S000002624
ADY2;ATO1	YCR010C	P25613	ADY2_YEAST	S000000603
ADY3	YDL239C	Q07732	ADY3_YEAST	S000002398
ADY4	YLR227C	Q05955	ADY4_YEAST	S000004217
AEP1;NCA1	YMR064W	P32493	AEP1_YEAST	S000004668
AEP2;ATP13	YMR282C	P22136	AEP2_YEAST	S000004895
AEP3	YPL005W	Q12089	AEP3_YEAST	S000005926
AFG1;AFG	YEL052W	P32317	AFG1_YEAST	S000000778
AFG2;DRG1	YLR397C	P32794	AFG2_YEAST	S000004389
AFG3;YTA10	YER017C	P39925	AFG3_YEAST	S000000819
AFI1	YOR129C	Q99222	AFI1_YEAST	S000005655
AFR1	YDR085C	P33304	AFR1_YEAST	S000002492
AFT1;RCS1	YGL071W	P22149	AFT1_YEAST	S000003039
AFT2	YPL202C	Q08957	AFT2_YEAST	S000006123
AGA1	YNR044W	P32323	AGA1_YEAST	S000005327
AGA2	YGL032C	P32781	AGA2_YEAST	S000003000
AGC1	YPR021C	Q12482	AGC1_YEAST	S000006225
AGE1;SAT1	YDR524C	Q04412	AGE1_YEAST	S000002932
AGE2	YIL044C	P40529	AGE2_YEAST	S000001306
AGP1	YCL025C	P25376	AGP1_YEAST	S000000530
AGP2	YBR132C	P38090	AGP2_YEAST	S000000336
AGP3	YFL055W	P43548	AGP3_YEAST	S000001839
AGX1	YFL030W	P43567	AGX1_YEAST	S000001864
AHA1	YDR214W	Q12449	AHA1_YEAST	S000002622
AHC1	YOR023C	Q12433	AHC1_YEAST	S000005549
AHC2	YCR082W	P25649	AHC2_YEAST	S000000678
AHP1	YLR109W	P38013	AHP1_YEAST	S000004099
AHT1	YHR093W	P29589	AHT1_YEAST	S000001135
AI1	Q0050	P03875	AI1M_YEAST	S000007261
AI2	Q0055	P03876	AI2M_YEAST	S000007262
AI3;ENS3;I-SCEIII	Q0060	P03877	SCE3_YEAST	S000007263
AI4;ENS2;I-SCEII	Q0065	P03878	SCE2_YEAST	S000007264
AI5_ALPHA;I-SCEIV	Q0070	Q9ZZX1	SCE4_YEAST	S000007265
AI5_BETA	Q0075	Q9ZZX0	AI5B_YEAST	S000007266
AIF1;CPD1	YNR074C	P52923	AIF1_YEAST	S000005357
AIM10	YER087W	P39965	SYPM_YEAST	S000000889
AIM11;GEP8	YER093C-A	P87275	AIM11_YEAST	S000002960
AIM14	YGL160W	P53109	AIM14_YEAST	S000003128
AIM17;FMP12	YHL021C	P23180	AIM17_YEAST	S000001013
AIM18;FMP22	YHR198C	P38884	AIM18_YEAST	S000001241
AIM19	YIL087C	P40502	AIM19_YEAST	S000001349
AIM2	YAL049C	P39721	AIM2_YEAST	S000000047
AIM20	YIL158W	P40451	AIM20_YEAST	S000001420
AIM21	YIR003W	P40563	AIM21_YEAST	S000001442
AIM22	YJL046W	P47051	LPLA_YEAST	S000003582
AIM23	YJL131C	P47015	AIM23_YEAST	S000003667
AIM24;FMP26	YJR080C	P47127	AIM24_YEAST	S000003841
AIM25	YJR100C	P47140	AIM25_YEAST	S000003861
AIM26	YKL037W	P32858	AIM26_YEAST	S000001520
AIM29	YKR074W	P36154	AIM29_YEAST	S000001782
AIM3	YBR108W	P38266	AIM3_YEAST	S000000312
AIM32	YML050W	Q04689	AIM32_YEAST	S000004514
AIM33	YML087C	Q04516	AIM33_YEAST	S000004552
AIM34	YMR003W	Q03673	AIM34_YEAST	S000004605
AIM36;FMP39	YMR157C	Q03798	AIM36_YEAST	S000004766
AIM39	YOL053W	Q08223	AIM39_YEAST	S000005414
AIM41	YOR215C	Q12032	AIM41_YEAST	S000005741
AIM44	YPL158C	Q99299	AIM44_YEAST	S000006079
AIM45	YPR004C	Q12480	ETFA_YEAST	S000006208
AIM46;FMP34	YHR199C	P38885	AIM46_YEAST	S000001242
AIM4;SOY1	YBR194W	P38305	AIM4_YEAST	S000000398
AIM6	YDL237W	Q07716	AIM6_YEAST	S000002396
AIM7	YDR063W	Q12156	AIM7_YEAST	S000002470
AIM9;FMP29	YER080W	P40053	AIM9_YEAST	S000000882
AIP1	YMR092C	P46680	AIP1_YEAST	S000004698
AIR1	YIL079C	P40507	AIR1_YEAST	S000001341
AIR2	YDL175C	Q12476	AIR2_YEAST	S000002334
AKL1	YBR059C	P38080	AKL1_YEAST	S000000263
AKR1	YDR264C	P39010	AKR1_YEAST	S000002672
AKR2	YOR034C	Q12013	AKR2_YEAST	S000005560
ALA1;CDC64	YOR335C	P40825	SYA_YEAST	S000005862
ALB1	YJL122W	P47019	ALB1_YEAST	S000003658
ALD2;ALD5	YMR170C	P47771	ALDH2_YEAST	S000004780
ALD3;ALD4	YMR169C	P54114	ALDH3_YEAST	S000004779
ALD4;ALD7;ALDH2	YOR374W	P46367	ALDH4_YEAST	S000005901
ALD5;ALD3;ALDH5	YER073W	P40047	ALDH5_YEAST	S000000875
ALD6;ALDH1	YPL061W	P54115	ALDH6_YEAST	S000005982
ALE1;LCA1;LPT1;SLC4	YOR175C	Q08548	ALE1_YEAST	S000005701
ALF1	YNL148C	P53904	TBCB_YEAST	S000005092
ALG1	YBR110W	P16661	ALG1_YEAST	S000000314
ALG11	YNL048W	P53954	ALG11_YEAST	S000004993
ALG12;ECM39	YNR030W	P53730	ALG12_YEAST	S000005313
ALG13	YGL047W	P53178	ALG13_YEAST	S000003015
ALG14	YBR070C	P38242	ALG14_YEAST	S000000274
ALG2	YGL065C	P43636	ALG2_YEAST	S000003033
ALG3;RHK1	YBL082C	P38179	ALG3_YEAST	S000000178
ALG5	YPL227C	P40350	ALG5_YEAST	S000006148
ALG6	YOR002W	Q12001	ALG6_YEAST	S000005528
ALG7;TUR1	YBR243C	P07286	GPT_YEAST	S000000447
ALG8	YOR067C	P40351	ALG8_YEAST	S000005593
ALG9	YNL219C	P53868	ALG9_YEAST	S000005163
ALK1	YGL021W	P43633	ALK1_YEAST	S000002989
ALK2	YBL009W	P32789	ALK2_YEAST	S000000105
ALO1	YML086C	P54783	ALO_YEAST	S000004551
ALP1	YNL270C	P38971	ALP1_YEAST	S000005214
ALR1	YOL130W	Q08269	ALR1_YEAST	S000005490
ALR2	YFL050C	P43553	ALR2_YEAST	S000001844
ALT1	YLR089C	P52893	ALAM_YEAST	S000004079
ALT2	YDR111C	P52892	ALAT_YEAST	S000002518
ALY1;ART6	YKR021W	P36117	ALY1_YEAST	S000001729
ALY2;ART3	YJL084C	P47029	ALY2_YEAST	S000003620
AMA1;SPO70	YGR225W	P50082	AMA1_YEAST	S000003457
AMD1;AMD	YML035C	P15274	AMPD_YEAST	S000004498
AMD2;AMDY;AMDY1	YDR242W	P22580	AMDY_YEAST	S000002650
AME1;ARP100	YBR211C	P38313	CENPU_YEAST	S000000415
AMN1;CST13;ICS4	YBR158W	P38285	AMN1_YEAST	S000000362
AMS1	YGL156W	P22855	MAN1_YEAST	S000003124
