Xenopus protein name	Human Uniprot
41	O43491
4ebp2	Q13542
4et	Q9NRA8
aak1	Q2M2I8
abcf1	Q8NE71
abi2	Q9NYB9
acly	P53396
acrc	Q96QF7
adad1	Q96M93
addg	Q9UEY8
adm1a	Q16186
adnp	Q9H2P0
afad	P55196
agap1	Q9UPQ3
agap3	Q96P47
agfg1	P52594
ahnk	Q09666
aim1	Q9Y4K1
akir2	Q53H80
akts1	Q96B36
alat2	Q8TD30
aldoa	P04075
ankh1	Q8IWZ3
ankl2	Q86XL3
anr17	O75179
ap3d1	O14617
apc	P25054
apc1	Q9H1A4
apc10	Q9UM13
aptx	Q7Z2E3
araf	P10398
arhb	Q5SW96
arhga	O15013
arhgg	Q5VV41
ari1a	O14497
armc9	Q7Z3E5
ash2l	Q9UBL3
aspc1	Q9BZE9
at2b1	P20020
atad2	Q6PL18
atad5	Q96QE3
atd2b	Q9ULI0
atrap	Q6RW13
atrx	P46100
atx2	Q99700
atx2l	Q8WWM7
azi2	Q9H6S1
bag3	O95817
baz1a	Q9NRL2
baz2a	Q9UIF9
bcas3	Q9H6U6
bcl9	O00512
bi2l1	Q9UHR4
bin1	O00499
birc6	Q9NR09
bl1s3	Q6QNY0
blnk	Q8WV28
bop1b	Q14137
bre1a	Q5VTR2
bt3l4	Q96K17
bub1	O43683
c124a	Q96CT7
c43bp	Q9Y5P4
ca1ab	Q13111
caf1b	Q13112
camlg	P49069
camp1	Q5T5Y3
cap1	Q01518
capr2	Q6IMN6
casp6	P55212
casp9	P55211
cb044	Q9H6R7
CB055	Q6NV74
cc132	Q96JG6
cc138	Q96M89
cc155	Q8N6L0
ccd14	Q49A88
ccd43	Q96MW1
ccdc9	Q9Y3X0
ccy1b	Q8N7R7
ccz1	P86791
cd2b2	O95400
cdan1	Q8IWY9
cdc27	P30260
cdc6	Q99741
cdca2	Q69YH5
cdca3	Q99618
cdk17	Q00537
cdt1	Q9H211
cdv3a	Q9UKY7
cep55	Q53EZ4
cgnl1	Q0VF96
ch033	Q9H7E9
CH042	Q86YL5
CH076	Q96K31
chd4	Q14839
chd7	Q9P2D1
chfr	Q96EP1
chsp1	Q9Y2V2
CI072	Q96LT7
CI142	Q9BUH6
CL045	Q8N5I9
clip1	P30622
clspn	Q9HAW4
cnd2	Q15003
cndd3	P42695
cntln	Q9NXG0
CO039	Q6ZRI6
cobl1	Q53SF7
com1	Q99708
copd	P48444
cpin1	Q6FI81
cpsf1	Q10570
cq028	Q8IV36
CS021	Q8IVT2
csdc2	Q9Y534
csde1	O75534
csn1	Q13098
cstf2	P33240
ctf18	Q8WVB6
ctif	O43310
ctnd1	O60716
ctr9	Q6PD62
cul4b	Q13620
cytsb	Q5M775
daple	Q9P219
daxx	Q9UER7
dbf4b	Q8NFT6
dbnla	Q9UJU6
dc1l1	Q9Y6G9
dc1l2	O43237
dcor1	P11926
dcps	Q96C86
dcr1a	Q6PJP8
dctn1	Q14203
dctn6	O00399
ddi2	Q5TDH0
ddx18	Q9NVP1
ddx21	Q9NR30
ddx3	O00571
ddx42	Q86XP3
ddx43	Q9NXZ2
ddx51	Q8N8A6
dek	P35659
den4c	Q5VZ89
denr	O43583
dgat1	O75907
dgcr8	Q8WYQ5
dhx29	Q7Z478
dkc1	O60832
dlgp5	Q15398
dnjc2	Q99543
dnli1	P18858
dock5	Q9H7D0
dock7	Q96N67
dons	Q9NYP3
dpoa2	Q14181
dpola	P09884
dreb	Q16643
dsn1	Q9H410
dus3l	Q96G46
dyhc1	Q14204
e41l3	Q9Y2J2
ect2	Q9H8V3
eea1	Q15075
ef1ga	P26641
ef2	P13639
ehmt2	Q96KQ7
ei3gb	O75821
eif1a	Q8N9N8
eif3a	Q14152
eif3c	Q99613
eif3j	O75822
ell2	O00472
elv1a	Q15717
elys	Q8WYP5
emal1	O00423
emal4	Q9HC35
eme2	A4GXA9
emsy	Q7Z589
enp1	P14625
ep15r	Q9UBC2
ep300	Q09472
epa2a	Q86U42
epg5	Q9HCE0
erc6l	Q2NKX8
ercc5	P28715
esco2	Q56NI9
etaa1	Q9NY74
ets1a	P14921
exd2	Q9NVH0
exoc4	Q96A65
exoc7	Q9UPT5
exph5	Q8NEV8
f1142	Q9NRY5
f117b	Q6P1L5
f125a	Q96EY5
f168b	A1KXE4
f263	Q16875
fa40a	Q5VSL9
fa63a	Q8N5J2
faf2b	Q96CS3
fam21	Q641Q2
fancb	Q8NB91
fanci	Q9NVI1
fasc	Q16658
fbp1l	Q5T0N5
fbxl7	Q9UJT9
flip1	Q7Z7B0
flna	P21333
fmra	Q08170
