C9JLW8	MCRI1_HUMAN	f195b
O00141	SGK1_HUMAN	sgk1a
O00213	APBB1_HUMAN	apbb1
O00257	CBX4_HUMAN	cbx4
O00327	BMAL1_HUMAN	bmal1
O00418	EF2K_HUMAN	ef2k
O00429	DNM1L_HUMAN	dnm1l
O00562	PITM1_HUMAN	pitm2
O14994	SYN3_HUMAN	syn3
O15151	MDM4_HUMAN	mdm4
O15198	SMAD9_HUMAN	smad9
O15525	MAFG_HUMAN	mafk
O43257	ZNHI1_HUMAN	znhi1
O43379	WDR62_HUMAN	wdr62
O43464	HTRA2_HUMAN	htra2
O43521	B2L11_HUMAN	b2l11
O43524	FOXO3_HUMAN	foxo3
O43602	DCX_HUMAN	dclk2
O43623	SNAI2_HUMAN	snai2
O43684	BUB3_HUMAN	bub3
O60244	MED14_HUMAN	med14
O60331	PI51C_HUMAN	pi51a
O60381	HBP1_HUMAN	hbp1
O60504	VINEX_HUMAN	vinex
O60716	CTND1_HUMAN	ctnd1
O75581	LRP6_HUMAN	lrp6
O75582	KS6A5_HUMAN	ks6a5
O94811	TPPP_HUMAN	tppp3
O94953	KDM4B_HUMAN	kdm4b
O95140	MFN2_HUMAN	mfn2
O95551	TYDP2_HUMAN	tydp2
O95600	KLF8_HUMAN	klf8
O95644	NFAC1_HUMAN	nfac1
O95817	BAG3_HUMAN	bag3
O95863	SNAI1_HUMAN	snai1
P00533	EGFR_HUMAN	egfr
P01100	FOS_HUMAN	fos
P01106	MYC_HUMAN	myc1
P02511	CRYAB_HUMAN	cryab
P02686	MBP_HUMAN	mbp
P03372	ESR1_HUMAN	esr1
P04049	RAF1_HUMAN	araf
P04150	GCR_HUMAN	gcr
P04179	SODM_HUMAN	sodm
P04626	ERBB2_HUMAN	erbb2
P04637	P53_HUMAN	p53
P04792	HSPB1_HUMAN	hspb1
P05067	A4_HUMAN	a4
P05198	IF2A_HUMAN	if2a
P05412	JUN_HUMAN	jun
P05787	K2C8_HUMAN	k2c8
P06239	LCK_HUMAN	lck
P06400	RB_HUMAN	rb
P06401	PRGR_HUMAN	prgr
P06702	S10A9_HUMAN	s10ab
P07101	TY3H_HUMAN	ty3h
P07196	NFL_HUMAN	nfl
P07900	HS90A_HUMAN	hs90a
P07954	FUMH_HUMAN	fumh
P08047	SP1_HUMAN	sp1
P09874	PARP1_HUMAN	parp1
P09917	LOX5_HUMAN	lox5
P10242	MYB_HUMAN	myb
P10275	ANDR_HUMAN	andr
P10276	RARA_HUMAN	rara
P10301	RRAS_HUMAN	rras2
P10415	BCL2_HUMAN	bcl2
P10636	TAU_HUMAN	tau
P10828	THB_HUMAN	thbb
P11308	ERG_HUMAN	erg
P11362	FGFR1_HUMAN	fgfr1
P11388	TOP2A_HUMAN	top2a
P11802	CDK4_HUMAN	cdk4
P12980	LYL1_HUMAN	lyl1
P13473	LAMP2_HUMAN	lamp2
P13591	NCAM1_HUMAN	nca12
P13631	RARG_HUMAN	rarg
P13726	TF_HUMAN	tf
P13807	GYS1_HUMAN	gys1
P14598	NCF1_HUMAN	ncf1
P14618	KPYM_HUMAN	kpym
P14635	CCNB1_HUMAN	ccnb1
P14784	IL2RB_HUMAN	il2rb
P14921	ETS1_HUMAN	ets1a
P15056	BRAF_HUMAN	braf
P15172	MYOD1_HUMAN	myoda
P15336	ATF2_HUMAN	atf2
P15923	TFE2_HUMAN	tfe2
P17181	INAR1_HUMAN	inar1
P17275	JUNB_HUMAN	junb
P17302	CXA1_HUMAN	cxa1
P17535	JUND_HUMAN	jund
P17542	TAL1_HUMAN	tal1
P17544	ATF7_HUMAN	atf7
P17655	CAN2_HUMAN	can2
P17676	CEBPB_HUMAN	cebpb
P17844	DDX5_HUMAN	ddx5
P17861	XBP1_HUMAN	xbp1
P18850	ATF6A_HUMAN	atf6a
P19419	ELK1_HUMAN	elk1
P19525	E2AK2_HUMAN	e2ak2
P19634	SL9A1_HUMAN	sl9a1
P19793	RXRA_HUMAN	rxra
P19878	NCF2_HUMAN	ncf2
P20265	PO3F2_HUMAN	p3f2b
P20339	RAB5A_HUMAN	rab5a
P21397	AOFA_HUMAN	aofa
P21802	FGFR2_HUMAN	fgfr2
P22415	USF1_HUMAN	usf1
P22736	NR4A1_HUMAN	nr4a1
P23396	RS3_HUMAN	rs31
P23443	KS6B1_HUMAN	ks6b1
P23769	GATA2_HUMAN	gata2
P23975	SC6A2_HUMAN	sc6a3
P24941	CDK2_HUMAN	cdk2
P26045	PTN3_HUMAN	ptn3
P27361	MK03_HUMAN	mk01
P27708	PYR1_HUMAN	pyr1
P27816	MAP4_HUMAN	map4
P27824	CALX_HUMAN	calx
P28324	ELK4_HUMAN	elk4
P28482	MK01_HUMAN	mk01
P28562	DUS1_HUMAN	dus1
P29353	SHC1_HUMAN	shc1
P29966	MARCS_HUMAN	marcs
P30041	PRDX6_HUMAN	prdx6
P30279	CCND2_HUMAN	ccnd2
P30305	MPIP2_HUMAN	mpip2
P31645	SC6A4_HUMAN	sc6a4
P31946	1433B_HUMAN	1433t
P32004	L1CAM_HUMAN	l1cam
